# Field snapshot at t = 10 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
0  0  0.046098  0.999123  2.497808  0.000356  -0.006914  -0.004841  0.007612  -0.005505  -0.002334  -0.001341  0.001114  -0.013704
1  0  0.022776  0.999163  2.497909  0.000148  0.002269  0.004151  0.004535  -0.001404  0.003577  -0.002928  0.007763  -0.004633
2  0  -0.044144  0.999098  2.497746  0.000249  0.003762  0.005490  -0.002804  -0.002899  -0.009712  0.009125  -0.002202  -0.002457
3  0  -0.025160  0.999620  2.499051  0.000368  -0.007899  0.004725  0.003442  -0.006311  -0.000919  -0.002071  0.013652  0.006370
4  0  0.031359  0.999502  2.498755  0.000062  -0.003558  0.001477  0.005246  0.001108  -0.003994  0.000104  -0.000105  -0.001695
5  0  -0.009497  0.999718  2.499294  0.000106  -0.004189  -0.004199  0.002986  -0.003005  0.004559  0.005087  0.001952  -0.001616
6  0  0.024958  0.999664  2.499161  0.000304  0.004180  0.012170  -0.004339  -0.000326  -0.000896  0.009062  0.004814  0.003713
7  0  -0.036020  0.999692  2.499229  0.000317  0.006131  0.000782  0.013023  0.007353  -0.006586  -0.001783  0.000300  0.002891
8  0  0.030976  0.999774  2.499434  0.000404  0.010270  0.005015  0.003915  -0.005287  0.005471  -0.007676  -0.010645  -0.005302
9  0  -0.002058  0.999348  2.498370  0.000307  0.000653  -0.011684  -0.005041  0.000450  -0.008138  0.000899  0.008144  -0.003325
10  0  0.096226  0.999244  2.498111  0.000168  -0.004523  0.008783  0.000256  0.003226  0.004207  -0.002550  -0.005984  -0.000184
11  0  0.030910  0.998957  2.497392  0.000339  0.004150  0.015510  0.004127  0.000285  -0.005169  0.000296  0.000095  -0.006082
12  0  -0.019370  0.999335  2.498338  0.000104  0.000258  0.003802  -0.006676  -0.002544  0.001787  0.000988  0.005152  0.002768
13  0  -0.044247  0.999153  2.497882  0.000117  0.005108  -0.006107  -0.006155  -0.000768  0.001102  -0.001936  0.000419  0.003191
14  0  0.079890  0.999203  2.498007  0.000514  0.007876  0.005763  0.003865  -0.012644  -0.006642  0.000611  -0.013670  -0.003577
15  0  -0.011130  0.999129  2.497822  0.000327  -0.005560  -0.001244  -0.005000  -0.012507  0.009268  -0.003241  0.001770  -0.003723
16  0  -0.067820  0.999388  2.498471  0.000039  -0.001170  0.000596  -0.003130  -0.000909  0.003564  -0.000433  0.003567  -0.001070
17  0  -0.003465  0.999414  2.498535  0.000344  0.000647  0.000068  -0.001759  0.012628  -0.002628  -0.010865  0.000346  -0.007447
18  0  0.034963  0.999753  2.499382  0.000274  0.002319  0.007987  -0.000590  -0.003094  -0.008295  -0.000808  0.010910  -0.002483
19  0  0.034681  0.999633  2.499082  0.000211  -0.000396  -0.002243  0.003636  -0.010194  -0.002045  0.002190  -0.005969  0.006649
20  0  -0.012396  0.999573  2.498934  0.000213  -0.012565  0.001704  -0.000214  0.002415  -0.000887  0.002660  0.000270  -0.006157
21  0  0.061026  0.999603  2.499008  0.000266  -0.004223  -0.008348  0.004929  0.001213  -0.001688  0.003758  -0.008460  0.007984
22  0  0.036714  0.999520  2.498799  0.000350  -0.008446  0.000993  0.012721  0.004521  -0.003252  -0.004302  -0.008131  -0.000039
23  0  0.068460  0.999521  2.498802  0.000262  0.009341  -0.000154  0.005310  -0.007289  0.006176  -0.006129  0.001770  -0.003804
24  0  -0.016454  0.999460  2.498651  0.000321  0.002779  0.001681  0.007092  -0.005148  0.013000  0.001401  -0.005553  0.005629
25  0  0.020125  0.999612  2.499029  0.000158  -0.001349  -0.007277  -0.001357  0.005067  0.000218  -0.003589  0.001174  0.007866
