# LONG-DURATION Dirac-Kuramoto Stochastic Evolution Timeseries
# Grid: 64 x 64
# Total steps: 10000 (100 seconds evolution)
# dt = 0.01, sigma_theta = 0.05, sigma_psi = 0.05
# Columns: time  R_global  spinor_norm  particle_x  particle_y  particle_drift
0.000000  1.000000  1.000001  32.000004  32.000000  0.000004
1.000000  0.999434  0.999996  31.711508  31.746241  0.384216
2.000000  0.999267  0.999991  31.532804  31.583632  0.625807
3.000000  0.999226  0.999984  31.399780  31.350044  0.884707
4.000000  0.999215  0.999986  31.304310  31.360659  0.944850
5.000000  0.999184  0.999958  31.431076  31.485561  0.767021
6.000000  0.999186  0.999936  31.526955  31.731886  0.543744
7.000000  0.999174  0.999951  31.357876  31.433369  0.856385
8.000000  0.999186  0.999980  31.512688  31.414389  0.761849
9.000000  0.999168  0.999989  31.559837  31.385771  0.755659
10.000000  0.999160  0.999989  31.716751  31.472610  0.598640
11.000000  0.999156  0.999970  31.703358  31.463848  0.612744
12.000000  0.999162  0.999940  31.406744  31.556931  0.740448
13.000000  0.999177  0.999940  31.296013  31.621363  0.799352
14.000000  0.999202  0.999942  31.331335  31.542276  0.810323
15.000000  0.999173  0.999945  31.426353  31.636478  0.679131
16.000000  0.999180  0.999922  31.447561  31.488976  0.752552
17.000000  0.999168  0.999919  31.705601  31.717062  0.408320
18.000000  0.999173  0.999888  31.777468  31.611837  0.447427
19.000000  0.999173  0.999874  31.618647  31.687542  0.493012
20.000000  0.999167  0.999869  31.547796  31.855843  0.474626
21.000000  0.999178  0.999859  31.299866  31.554222  0.830004
22.000000  0.999164  0.999846  31.450453  31.327419  0.868543
23.000000  0.999115  0.999846  31.277922  31.406019  0.934992
24.000000  0.999127  0.999858  31.406088  31.646946  0.690926
25.000000  0.999128  0.999807  31.310760  31.524424  0.837391
26.000000  0.999171  0.999804  31.409784  31.401394  0.840645
27.000000  0.999122  0.999755  31.350901  31.550720  0.789419
28.000000  0.999175  0.999767  31.463146  31.429991  0.783021
29.000000  0.999162  0.999797  31.534706  31.435476  0.731564
30.000000  0.999147  0.999827  31.732119  31.529890  0.541077
31.000000  0.999092  0.999793  31.479012  31.338840  0.841761
32.000000  0.999125  0.999782  31.406292  31.443548  0.813712
33.000000  0.999178  0.999765  31.299660  31.423841  0.906882
34.000000  0.999176  0.999725  31.418808  31.735653  0.638485
35.000000  0.999200  0.999740  31.660284  31.567371  0.550068
36.000000  0.999203  0.999794  31.720942  31.554277  0.525873
37.000000  0.999222  0.999791  31.583841  31.531700  0.626492
38.000000  0.999216  0.999863  31.551434  31.490488  0.678833
39.000000  0.999226  0.999813  31.731016  31.618452  0.466831
40.000000  0.999197  0.999799  31.477978  31.622078  0.644463
41.000000  0.999202  0.999786  31.672712  31.825912  0.370707
42.000000  0.999200  0.999818  31.258684  31.697351  0.800716
43.000000  0.999150  0.999810  31.434572  31.623131  0.679514
44.000000  0.999164  0.999833  31.556784  31.514605  0.657305
45.000000  0.999169  0.999884  31.604959  31.770147  0.457044
46.000000  0.999176  0.999905  31.318916  31.433060  0.886169
47.000000  0.999140  0.999884  31.385208  31.415007  0.848638
48.000000  0.999137  0.999917  31.321228  31.746323  0.724627
49.000000  0.999145  0.999932  31.615480  31.723568  0.473572
50.000000  0.999122  0.999907  31.938671  31.438072  0.565265
51.000000  0.999130  0.999889  31.460546  31.434269  0.781704
52.000000  0.999138  0.999905  31.289040  31.599300  0.816103
53.000000  0.999170  0.999934  31.566101  31.656710  0.553278
54.000000  0.999126  0.999948  31.578720  31.534126  0.628104
55.000000  0.999164  0.999930  31.377884  31.533720  0.777461
56.000000  0.999174  0.999914  31.503155  31.415976  0.766772
57.000000  0.999157  0.999910  31.434002  31.415684  0.813498
58.000000  0.999161  0.999885  31.427397  31.565630  0.718715
59.000000  0.999177  0.999884  31.673313  31.537203  0.566485
60.000000  0.999127  0.999858  31.656790  31.637280  0.499359
61.000000  0.999170  0.999820  31.557529  31.551712  0.629875
62.000000  0.999124  0.999839  31.572035  31.502100  0.656551
63.000000  0.999120  0.999871  31.381954  31.333757  0.908768
64.000000  0.999151  0.999818  31.361990  31.394382  0.879676
65.000000  0.999162  0.999828  31.269232  31.596806  0.834618
66.000000  0.999165  0.999807  31.292358  31.342339  0.966062
67.000000  0.999194  0.999875  31.358198  31.429682  0.858588
68.000000  0.999205  0.999893  31.214878  31.624601  0.870253
69.000000  0.999171  0.999896  31.536770  31.618858  0.599876
70.000000  0.999189  0.999932  31.664169  31.626888  0.501991
71.000000  0.999185  0.999942  31.558311  31.742258  0.511390
72.000000  0.999170  0.999920  31.478849  31.610905  0.650379
73.000000  0.999170  0.999908  31.420071  31.563238  0.726002
74.000000  0.999164  0.999911  31.470228  31.758263  0.582319
75.000000  0.999183  0.999918  31.383404  31.646271  0.710855
76.000000  0.999162  0.999945  31.563047  31.801483  0.479934
77.000000  0.999154  0.999980  31.446814  31.359800  0.846092
78.000000  0.999175  0.999998  31.362255  31.628651  0.737983
79.000000  0.999174  0.999961  31.494152  31.416206  0.772462
80.000000  0.999171  0.999946  31.406582  31.320141  0.902415
81.000000  0.999163  0.999958  31.290136  31.539860  0.845952
82.000000  0.999154  0.999953  31.234127  31.389629  0.979344
83.000000  0.999162  0.999945  31.369169  31.339317  0.913482
84.000000  0.999138  0.999956  31.363869  31.324005  0.928241
85.000000  0.999128  0.999971  31.536566  31.374500  0.778474
86.000000  0.999141  0.999982  31.486603  31.366707  0.815253
87.000000  0.999182  0.999981  31.350876  31.332684  0.930953
88.000000  0.999157  0.999970  31.285191  31.517992  0.862139
89.000000  0.999157  0.999978  31.491129  31.375885  0.805276
90.000000  0.999175  0.999969  31.502563  31.523726  0.688680
91.000000  0.999175  0.999985  31.745420  31.587267  0.484932
92.000000  0.999147  0.999948  31.981554  31.471588  0.528734
93.000000  0.999144  0.999947  31.705822  31.569149  0.521702
94.000000  0.999173  0.999967  31.832560  31.610067  0.424363
95.000000  0.999131  0.999974  31.810942  31.581966  0.458797
96.000000  0.999133  0.999969  31.792362  31.660475  0.397983
97.000000  0.999140  0.999982  31.685364  31.695148  0.438099
98.000000  0.999142  1.000003  31.636715  31.667830  0.492253
99.000000  0.999113  0.999994  31.337002  31.680149  0.736119
100.000000  0.999126  0.999975  31.559175  31.752636  0.505485
