# x y z residual
0 0 0 0.000635821
4 0 0 0.000635821
8 0 0 0.000635821
12 0 0 0.000635821
16 0 0 0.000635821
20 0 0 0.000635821
24 0 0 0.000635821
28 0 0 0.000635821
0 4 0 0.000635821
4 4 0 0.000635821
8 4 0 0.000635821
12 4 0 0.000635821
16 4 0 0.000635821
20 4 0 0.000635821
24 4 0 0.000635821
28 4 0 0.000635821
0 8 0 0.000635821
4 8 0 0.000635821
8 8 0 0.000635821
12 8 0 0.000635821
16 8 0 0.000635821
20 8 0 0.000635821
24 8 0 0.000635821
28 8 0 0.000635821
0 12 0 0.000635821
4 12 0 0.000635821
8 12 0 0.000635821
12 12 0 0.000635821
16 12 0 0.000635821
20 12 0 0.000635821
24 12 0 0.000635821
28 12 0 0.000635821
0 16 0 0.000635821
4 16 0 0.000635821
8 16 0 0.000635821
12 16 0 0.000635821
16 16 0 0.000635821
20 16 0 0.000635821
24 16 0 0.000635821
28 16 0 0.000635821
0 20 0 0.000635821
4 20 0 0.000635821
8 20 0 0.000635821
12 20 0 0.000635821
16 20 0 0.000635821
20 20 0 0.000635821
24 20 0 0.000635821
28 20 0 0.000635821
0 24 0 0.000635821
4 24 0 0.000635821
8 24 0 0.000635821
12 24 0 0.000635821
16 24 0 0.000635821
20 24 0 0.000635821
24 24 0 0.000635821
28 24 0 0.000635821
0 28 0 0.000635821
4 28 0 0.000635821
8 28 0 0.000635821
12 28 0 0.000635821
16 28 0 0.000635821
20 28 0 0.000635821
24 28 0 0.000635821
28 28 0 0.000635821
0 0 4 0.000635821
4 0 4 0.000635821
8 0 4 0.000635821
12 0 4 0.000635821
16 0 4 0.000635821
20 0 4 0.000635821
24 0 4 0.000635821
28 0 4 0.000635821
0 4 4 0.000635821
4 4 4 0.000635821
8 4 4 0.000635821
12 4 4 0.000635821
16 4 4 0.000635821
20 4 4 0.000635821
24 4 4 0.000635821
28 4 4 0.000635821
0 8 4 0.000635821
4 8 4 0.000635821
8 8 4 0.000635821
12 8 4 0.000635821
16 8 4 0.000635821
20 8 4 0.000635821
24 8 4 0.000635821
28 8 4 0.000635821
0 12 4 0.000635821
4 12 4 0.000635821
8 12 4 0.000635821
12 12 4 0.000635821
16 12 4 0.000635821
20 12 4 0.000635821
24 12 4 0.000635821
28 12 4 0.000635821
0 16 4 0.000635821
4 16 4 0.000635821
8 16 4 0.000635821
12 16 4 0.000635821
16 16 4 0.000635821
20 16 4 0.000635821
24 16 4 0.000635821
28 16 4 0.000635821
0 20 4 0.000635821
4 20 4 0.000635821
8 20 4 0.000635821
12 20 4 0.000635821
16 20 4 0.000635821
20 20 4 0.000635821
24 20 4 0.000635821
28 20 4 0.000635821
0 24 4 0.000635821
4 24 4 0.000635821
