# Rigorous CPU Noise Sweep Results
# Methodology: immediate.md compliant
# Grid: 128×128, dt = 0.01, K = 1, γ = 0.1
# Warmup: 5000 steps, Measurement: 10000 steps
# Noise: Proper Euler-Maruyama σ·√(dt)·N(0,1)
# IC: Pre-synchronized (R₀ ≈ 0.99)
#
# sigma  R_initial  R_final  R_mean  R_std  L_final  L_mean
0.000000e+00  1.000000  1.000000  1.000000  0.000000  16384  16384
1.000000e-05  1.000000  1.000000  1.000000  0.000000  16384  16384
1.000000e-04  1.000000  1.000000  1.000000  0.000000  16384  16384
1.000000e-03  1.000000  1.000000  1.000000  -nan  16384  16383
1.000000e-02  1.000000  0.999993  0.999994  0.000074  16383  16383
5.000000e-02  1.000000  0.999180  0.999183  -nan  16345  16345
1.000000e-01  1.000000  0.996606  0.996638  -nan  16228  16230
1.500000e-01  1.000000  0.992246  0.992430  -nan  16034  16039
2.000000e-01  1.000000  0.986771  0.986431  0.000118  15780  15771
2.500000e-01  1.000000  0.979331  0.978711  0.000263  15451  15431
3.000000e-01  1.000000  0.969242  0.968839  0.000494  15020  15015
3.500000e-01  1.000000  0.957377  0.957263  0.000595  14536  14531
4.000000e-01  1.000000  0.943899  0.943982  0.000780  13999  13978
5.000000e-01  1.000000  0.909527  0.909178  0.001102  12623  12655
6.000000e-01  1.000000  0.863246  0.861695  0.001617  11062  11050
7.000000e-01  1.000000  0.799470  0.798271  0.003126  9181  9171
8.000000e-01  1.000000  0.695501  0.693945  0.003652  6738  6770
9.000000e-01  1.000000  0.519415  0.533570  0.008847  4132  4220
1.000000e+00  1.000000  0.353173  0.355931  0.010623  2412  2441
1.500000e+00  1.000000  0.061807  0.073406  0.006994  732  716
2.000000e+00  1.000000  0.019096  0.033013  0.005800  512  529
3.000000e+00  1.000000  0.019144  0.012804  0.005271  412  438
