# Timeseries for σ = 2.000000e-01
# step  t  R_global  L
0  0.000000  0.999848  16372.137695
1  0.010000  0.999642  16360.739258
2  0.020000  0.999450  16350.067383
3  0.030000  0.999255  16339.192383
4  0.040000  0.999075  16328.950195
5  0.050000  0.998898  16318.792969
6  0.060000  0.998706  16307.846680
7  0.070000  0.998527  16297.692383
8  0.080000  0.998371  16288.839844
9  0.090000  0.998211  16279.574219
10  0.100000  0.998049  16270.572266
11  0.110000  0.997899  16261.909180
12  0.120000  0.997738  16253.123047
13  0.130000  0.997580  16244.337891
14  0.140000  0.997449  16236.711914
15  0.150000  0.997303  16228.786133
16  0.160000  0.997156  16220.778320
17  0.170000  0.997024  16213.464844
18  0.180000  0.996895  16206.292969
19  0.190000  0.996772  16199.421875
20  0.200000  0.996643  16191.809570
21  0.210000  0.996510  16184.413086
22  0.220000  0.996399  16178.259766
23  0.230000  0.996291  16171.951172
24  0.240000  0.996172  16165.442383
25  0.250000  0.996043  16158.094727
26  0.260000  0.995947  16152.931641
27  0.270000  0.995831  16146.860352
28  0.280000  0.995696  16139.446289
29  0.290000  0.995588  16133.623047
30  0.300000  0.995481  16127.683594
31  0.310000  0.995363  16121.040039
32  0.320000  0.995257  16115.317383
33  0.330000  0.995147  16109.859375
34  0.340000  0.995057  16105.266602
35  0.350000  0.994924  16098.340820
36  0.360000  0.994829  16093.099609
37  0.370000  0.994740  16088.626953
38  0.380000  0.994628  16082.679688
39  0.390000  0.994525  16077.235352
40  0.400000  0.994453  16073.366211
41  0.410000  0.994362  16068.158203
42  0.420000  0.994244  16062.092773
43  0.430000  0.994181  16058.655273
44  0.440000  0.994098  16054.889648
45  0.450000  0.994033  16051.657227
46  0.460000  0.993925  16046.027344
47  0.470000  0.993842  16042.180664
48  0.480000  0.993758  16037.838867
49  0.490000  0.993672  16033.208984
50  0.500000  0.993548  16026.259766
51  0.510000  0.993482  16022.833984
52  0.520000  0.993372  16017.073242
53  0.530000  0.993308  16014.219727
54  0.540000  0.993248  16011.081055
55  0.550000  0.993173  16007.466797
56  0.560000  0.993114  16004.389648
57  0.570000  0.993038  16000.684570
58  0.580000  0.993012  15999.239258
59  0.590000  0.992957  15996.315430
60  0.600000  0.992874  15992.381836
61  0.610000  0.992840  15990.906250
62  0.620000  0.992768  15987.151367
63  0.630000  0.992691  15983.700195
64  0.640000  0.992630  15980.858398
65  0.650000  0.992557  15976.377930
66  0.660000  0.992515  15974.362305
67  0.670000  0.992442  15970.837891
68  0.680000  0.992420  15970.066406
69  0.690000  0.992365  15967.504883
70  0.700000  0.992303  15964.281250
71  0.710000  0.992268  15962.978516
72  0.720000  0.992233  15961.189453
73  0.730000  0.992172  15958.380859
74  0.740000  0.992111  15955.143555
75  0.750000  0.992069  15951.969727
76  0.760000  0.992005  15948.605469
77  0.770000  0.991963  15947.070312
78  0.780000  0.991919  15944.728516
79  0.790000  0.991884  15943.277344
80  0.800000  0.991817  15939.747070
81  0.810000  0.991777  15937.800781
82  0.820000  0.991726  15935.217773
83  0.830000  0.991657  15931.722656
84  0.840000  0.991616  15929.756836
85  0.850000  0.991596  15929.041016
86  0.860000  0.991570  15927.473633
87  0.870000  0.991552  15927.852539
88  0.880000  0.991529  15926.827148
89  0.890000  0.991486  15925.307617
90  0.900000  0.991436  15923.084961
91  0.910000  0.991428  15922.630859
92  0.920000  0.991399  15921.203125
93  0.930000  0.991359  15919.343750
94  0.940000  0.991317  15917.296875
95  0.950000  0.991276  15915.684570
96  0.960000  0.991250  15914.096680
97  0.970000  0.991198  15911.632812
98  0.980000  0.991178  15911.640625
99  0.990000  0.991127  15909.667969
100  1.000000  0.991078  15907.365234
101  1.010000  0.991018  15904.928711
102  1.020000  0.991019  15905.791992
103  1.030000  0.990958  15903.160156
104  1.040000  0.990945  15902.420898
105  1.050000  0.990928  15902.226562
106  1.060000  0.990856  15898.550781
107  1.070000  0.990789  15894.853516
108  1.080000  0.990757  15893.819336
109  1.090000  0.990760  15894.375977
110  1.100000  0.990744  15893.502930
111  1.110000  0.990742  15893.910156
112  1.120000  0.990678  15890.986328
113  1.130000  0.990660  15890.429688
114  1.140000  0.990626  15888.849609
115  1.150000  0.990593  15887.706055
116  1.160000  0.990556  15885.648438
117  1.170000  0.990501  15883.136719
118  1.180000  0.990495  15882.981445
119  1.190000  0.990448  15880.312500
120  1.200000  0.990402  15877.902344
121  1.210000  0.990368  15876.508789
122  1.220000  0.990371  15876.602539
123  1.230000  0.990314  15874.308594
124  1.240000  0.990315  15874.997070
125  1.250000  0.990303  15874.859375
126  1.260000  0.990270  15873.181641
127  1.270000  0.990194  15869.140625
128  1.280000  0.990136  15866.315430
129  1.290000  0.990096  15864.176758
130  1.300000  0.990055  15862.057617
131  1.310000  0.990075  15863.452148
132  1.320000  0.990056  15862.877930
133  1.330000  0.990016  15861.366211
134  1.340000  0.989977  15859.082031
135  1.350000  0.989945  15857.782227
136  1.360000  0.989960  15858.305664
137  1.370000  0.989948  15857.205078
138  1.380000  0.989915  15855.663086
139  1.390000  0.989898  15854.868164
140  1.400000  0.989870  15853.070312
141  1.410000  0.989883  15854.629883
142  1.420000  0.989894  15855.507812
143  1.430000  0.989881  15854.738281
144  1.440000  0.989857  15853.929688
145  1.450000  0.989813  15851.708008
146  1.460000  0.989820  15852.302734
147  1.470000  0.989789  15851.431641
148  1.480000  0.989762  15849.362305
149  1.490000  0.989752  15848.949219
150  1.500000  0.989719  15847.696289
151  1.510000  0.989697  15847.031250
152  1.520000  0.989683  15845.984375
153  1.530000  0.989652  15844.908203
154  1.540000  0.989635  15844.535156
155  1.550000  0.989629  15844.655273
156  1.560000  0.989577  15842.941406
157  1.570000  0.989557  15841.529297
158  1.580000  0.989510  15839.527344
159  1.590000  0.989472  15838.063477
160  1.600000  0.989460  15837.173828
161  1.610000  0.989448  15836.581055
162  1.620000  0.989482  15838.114258
163  1.630000  0.989425  15836.032227
164  1.640000  0.989431  15837.060547
165  1.650000  0.989400  15835.847656
166  1.660000  0.989364  15834.488281
167  1.670000  0.989351  15833.544922
168  1.680000  0.989326  15832.428711
169  1.690000  0.989283  15830.498047
170  1.700000  0.989275  15829.952148
171  1.710000  0.989250  15829.154297
172  1.720000  0.989245  15828.753906
173  1.730000  0.989249  15828.666992
174  1.740000  0.989251  15829.096680
175  1.750000  0.989283  15830.846680
176  1.760000  0.989260  15829.549805
177  1.770000  0.989220  15828.084961
178  1.780000  0.989199  15826.229492
179  1.790000  0.989167  15824.816406
180  1.800000  0.989186  15826.119141
181  1.810000  0.989152  15824.234375
182  1.820000  0.989154  15825.082031
183  1.830000  0.989079  15821.494141
184  1.840000  0.989064  15821.305664
185  1.850000  0.989040  15821.147461
186  1.860000  0.989044  15821.422852
187  1.870000  0.989048  15821.898438
188  1.880000  0.989020  15820.202148
189  1.890000  0.989021  15820.573242
190  1.900000  0.988983  15819.207031
191  1.910000  0.988988  15819.833984
192  1.920000  0.988988  15820.536133
193  1.930000  0.988952  15818.617188
194  1.940000  0.988957  15819.206055
195  1.950000  0.988939  15819.075195
196  1.960000  0.988950  15819.958008
197  1.970000  0.988954  15821.124023
198  1.980000  0.988934  15819.939453
199  1.990000  0.988918  15818.536133
200  2.000000  0.988900  15817.953125
201  2.010000  0.988899  15818.118164
202  2.020000  0.988890  15818.443359
203  2.030000  0.988852  15817.158203
204  2.040000  0.988826  15816.218750
205  2.050000  0.988824  15817.458984
206  2.060000  0.988797  15816.050781
207  2.070000  0.988743  15814.200195
208  2.080000  0.988704  15812.913086
209  2.090000  0.988691  15812.628906
210  2.100000  0.988648  15809.914062
211  2.110000  0.988680  15812.411133
212  2.120000  0.988623  15809.463867
213  2.130000  0.988625  15809.611328
214  2.140000  0.988579  15807.706055
215  2.150000  0.988594  15808.900391
216  2.160000  0.988559  15807.512695
217  2.170000  0.988534  15806.947266
218  2.180000  0.988507  15805.909180
219  2.190000  0.988511  15806.687500
220  2.200000  0.988513  15807.024414
221  2.210000  0.988503  15806.910156
222  2.220000  0.988505  15806.828125
223  2.230000  0.988513  15807.866211
224  2.240000  0.988477  15805.870117
225  2.250000  0.988452  15804.834961
226  2.260000  0.988433  15804.894531
227  2.270000  0.988442  15804.447266
228  2.280000  0.988419  15803.784180
229  2.290000  0.988453  15806.019531
230  2.300000  0.988460  15806.179688
231  2.310000  0.988480  15807.898438
232  2.320000  0.988429  15805.328125
233  2.330000  0.988445  15806.604492
234  2.340000  0.988425  15805.972656
235  2.350000  0.988371  15804.056641
236  2.360000  0.988407  15805.336914
237  2.370000  0.988415  15805.930664
238  2.380000  0.988410  15806.547852
239  2.390000  0.988439  15807.831055
240  2.400000  0.988429  15807.442383
241  2.410000  0.988436  15808.111328
242  2.420000  0.988415  15807.224609
243  2.430000  0.988457  15809.104492
244  2.440000  0.988424  15807.931641
245  2.450000  0.988438  15809.129883
246  2.460000  0.988392  15807.087891
247  2.470000  0.988400  15807.577148
248  2.480000  0.988387  15808.046875
249  2.490000  0.988403  15808.803711
250  2.500000  0.988420  15809.937500
251  2.510000  0.988448  15812.243164
252  2.520000  0.988463  15813.321289
253  2.530000  0.988456  15813.129883
254  2.540000  0.988421  15811.912109
255  2.550000  0.988409  15811.725586
256  2.560000  0.988362  15809.538086
257  2.570000  0.988308  15806.875000
258  2.580000  0.988295  15805.707031
259  2.590000  0.988270  15804.965820
260  2.600000  0.988290  15806.139648
261  2.610000  0.988314  15806.501953
262  2.620000  0.988292  15806.485352
263  2.630000  0.988261  15805.288086
264  2.640000  0.988273  15805.794922
265  2.650000  0.988276  15806.061523
266  2.660000  0.988285  15807.100586
267  2.670000  0.988286  15807.826172
268  2.680000  0.988261  15806.754883
269  2.690000  0.988260  15807.280273
270  2.700000  0.988255  15806.417969
271  2.710000  0.988246  15806.022461
272  2.720000  0.988249  15806.116211
273  2.730000  0.988248  15806.179688
274  2.740000  0.988194  15804.062500
275  2.750000  0.988205  15804.993164
276  2.760000  0.988187  15804.257812
277  2.770000  0.988186  15805.127930
278  2.780000  0.988155  15803.783203
279  2.790000  0.988163  15804.276367
280  2.800000  0.988123  15802.411133
281  2.810000  0.988099  15801.263672
282  2.820000  0.988100  15801.628906
283  2.830000  0.988114  15802.747070
284  2.840000  0.988120  15803.091797
285  2.850000  0.988102  15802.591797
286  2.860000  0.988086  15801.370117
287  2.870000  0.988101  15802.588867
288  2.880000  0.988091  15802.475586
289  2.890000  0.988068  15800.976562
290  2.900000  0.988085  15802.267578
291  2.910000  0.988070  15801.474609
292  2.920000  0.988047  15800.210938
293  2.930000  0.988065  15802.211914
294  2.940000  0.988051  15801.776367
295  2.950000  0.988100  15804.397461
296  2.960000  0.988082  15803.557617
297  2.970000  0.988093  15803.268555
298  2.980000  0.988053  15801.662109
299  2.990000  0.988035  15800.917969
300  3.000000  0.988004  15799.554688
301  3.010000  0.988012  15799.508789
302  3.020000  0.988048  15800.421875
303  3.030000  0.988022  15799.287109
304  3.040000  0.987971  15797.386719
305  3.050000  0.987958  15796.994141
306  3.060000  0.987952  15796.456055
307  3.070000  0.987942  15796.365234
308  3.080000  0.987946  15796.708984
309  3.090000  0.987874  15793.081055
310  3.100000  0.987845  15792.307617
311  3.110000  0.987866  15793.571289
312  3.120000  0.987841  15792.028320
313  3.130000  0.987825  15792.077148
314  3.140000  0.987842  15792.597656
315  3.150000  0.987878  15794.615234
316  3.160000  0.987859  15793.711914
317  3.170000  0.987864  15793.931641
318  3.180000  0.987841  15793.030273
319  3.190000  0.987825  15791.971680
320  3.200000  0.987821  15792.855469
321  3.210000  0.987797  15791.583008
322  3.220000  0.987760  15789.807617
323  3.230000  0.987729  15787.860352
324  3.240000  0.987726  15788.224609
325  3.250000  0.987700  15786.328125
326  3.260000  0.987691  15785.818359
327  3.270000  0.987692  15785.615234
328  3.280000  0.987695  15785.647461
329  3.290000  0.987757  15787.402344
330  3.300000  0.987769  15788.318359
331  3.310000  0.987722  15786.335938
332  3.320000  0.987688  15785.790039
333  3.330000  0.987688  15786.479492
334  3.340000  0.987683  15786.741211
335  3.350000  0.987682  15786.375000
336  3.360000  0.987658  15784.944336
337  3.370000  0.987671  15785.541992
338  3.380000  0.987687  15787.278320
339  3.390000  0.987709  15788.653320
340  3.400000  0.987687  15787.980469
341  3.410000  0.987691  15788.281250
342  3.420000  0.987669  15787.942383
343  3.430000  0.987674  15787.847656
344  3.440000  0.987679  15788.199219
345  3.450000  0.987694  15788.136719
346  3.460000  0.987690  15788.230469
347  3.470000  0.987726  15790.321289
348  3.480000  0.987725  15790.974609
349  3.490000  0.987771  15794.284180
350  3.500000  0.987770  15795.122070
351  3.510000  0.987759  15794.783203
352  3.520000  0.987742  15795.294922
353  3.530000  0.987738  15794.975586
354  3.540000  0.987777  15797.386719
355  3.550000  0.987736  15795.474609
356  3.560000  0.987707  15794.158203
357  3.570000  0.987636  15791.346680
358  3.580000  0.987611  15790.175781
359  3.590000  0.987622  15790.765625
360  3.600000  0.987597  15788.677734
361  3.610000  0.987566  15787.351562
362  3.620000  0.987604  15789.052734
363  3.630000  0.987616  15790.519531
364  3.640000  0.987633  15791.397461
365  3.650000  0.987600  15790.188477
366  3.660000  0.987580  15789.086914
367  3.670000  0.987573  15789.219727
368  3.680000  0.987608  15791.309570
369  3.690000  0.987597  15791.061523
370  3.700000  0.987626  15793.294922
371  3.710000  0.987632  15794.499023
372  3.720000  0.987615  15794.522461
373  3.730000  0.987573  15792.977539
374  3.740000  0.987567  15792.196289
375  3.750000  0.987576  15792.070312
376  3.760000  0.987538  15791.032227
377  3.770000  0.987553  15791.660156
378  3.780000  0.987545  15790.390625
379  3.790000  0.987545  15789.987305
380  3.800000  0.987550  15790.501953
381  3.810000  0.987534  15789.816406
382  3.820000  0.987513  15789.106445
383  3.830000  0.987541  15790.161133
384  3.840000  0.987507  15788.693359
385  3.850000  0.987473  15787.206055
386  3.860000  0.987472  15787.740234
387  3.870000  0.987484  15788.098633
388  3.880000  0.987450  15786.009766
389  3.890000  0.987443  15786.153320
390  3.900000  0.987472  15788.279297
391  3.910000  0.987470  15787.505859
392  3.920000  0.987511  15790.217773
393  3.930000  0.987459  15788.563477
394  3.940000  0.987487  15790.439453
395  3.950000  0.987477  15790.070312
396  3.960000  0.987432  15787.908203
397  3.970000  0.987450  15789.121094
398  3.980000  0.987441  15789.648438
399  3.990000  0.987463  15790.776367
400  4.000000  0.987431  15789.887695
401  4.010000  0.987424  15789.318359
402  4.020000  0.987420  15790.067383
403  4.030000  0.987403  15790.427734
404  4.040000  0.987369  15788.222656
405  4.050000  0.987338  15786.874023
406  4.060000  0.987352  15787.649414
407  4.070000  0.987385  15789.216797
408  4.080000  0.987374  15788.760742
409  4.090000  0.987366  15788.579102
410  4.100000  0.987357  15789.061523
411  4.110000  0.987392  15790.163086
412  4.120000  0.987420  15791.278320
413  4.130000  0.987417  15790.654297
414  4.140000  0.987412  15789.296875
415  4.150000  0.987390  15788.129883
416  4.160000  0.987351  15786.193359
417  4.170000  0.987381  15787.740234
418  4.180000  0.987384  15787.719727
419  4.190000  0.987409  15788.829102
420  4.200000  0.987410  15788.493164
421  4.210000  0.987387  15787.341797
422  4.220000  0.987391  15787.745117
423  4.230000  0.987382  15787.326172
424  4.240000  0.987372  15786.906250
425  4.250000  0.987336  15785.107422
426  4.260000  0.987298  15784.121094
427  4.270000  0.987302  15784.283203
428  4.280000  0.987317  15785.161133
429  4.290000  0.987338  15786.543945
430  4.300000  0.987316  15785.470703
431  4.310000  0.987322  15785.354492
432  4.320000  0.987310  15784.973633
433  4.330000  0.987299  15785.069336
434  4.340000  0.987299  15786.143555
435  4.350000  0.987273  15784.717773
436  4.360000  0.987239  15783.052734
437  4.370000  0.987241  15783.415039
438  4.380000  0.987224  15783.476562
439  4.390000  0.987234  15784.788086
440  4.400000  0.987223  15783.986328
441  4.410000  0.987226  15784.121094
442  4.420000  0.987148  15780.700195
443  4.430000  0.987154  15781.146484
444  4.440000  0.987136  15779.779297
445  4.450000  0.987135  15780.110352
446  4.460000  0.987117  15779.390625
447  4.470000  0.987099  15778.371094
448  4.480000  0.987126  15778.707031
449  4.490000  0.987160  15780.584961
450  4.500000  0.987180  15781.305664
451  4.510000  0.987202  15782.974609
452  4.520000  0.987164  15780.791016
453  4.530000  0.987167  15780.557617
454  4.540000  0.987202  15782.266602
455  4.550000  0.987188  15782.081055
456  4.560000  0.987214  15784.069336
457  4.570000  0.987229  15783.982422
458  4.580000  0.987234  15785.352539
459  4.590000  0.987212  15784.791992
460  4.600000  0.987196  15784.088867
461  4.610000  0.987191  15783.257812
462  4.620000  0.987194  15783.156250
463  4.630000  0.987160  15781.830078
464  4.640000  0.987195  15783.438477
465  4.650000  0.987150  15781.470703
466  4.660000  0.987179  15781.663086
467  4.670000  0.987153  15779.873047
468  4.680000  0.987140  15779.844727
469  4.690000  0.987065  15776.645508
470  4.700000  0.987079  15777.150391
471  4.710000  0.987051  15775.531250
472  4.720000  0.987011  15774.170898
473  4.730000  0.987005  15773.551758
474  4.740000  0.987032  15774.598633
475  4.750000  0.987009  15774.751953
476  4.760000  0.987025  15775.601562
477  4.770000  0.987022  15775.883789
478  4.780000  0.987011  15775.633789
479  4.790000  0.986988  15775.298828
480  4.800000  0.987000  15776.638672
481  4.810000  0.987000  15776.341797
482  4.820000  0.987005  15776.917969
483  4.830000  0.987056  15779.493164
484  4.840000  0.987061  15780.664062
485  4.850000  0.987060  15781.620117
486  4.860000  0.987061  15781.286133
487  4.870000  0.987074  15781.296875
488  4.880000  0.987064  15780.011719
489  4.890000  0.987082  15781.364258
490  4.900000  0.987093  15783.013672
491  4.910000  0.987110  15784.023438
492  4.920000  0.987132  15784.801758
493  4.930000  0.987112  15784.407227
494  4.940000  0.987072  15782.799805
495  4.950000  0.987096  15784.835938
496  4.960000  0.987048  15783.394531
497  4.970000  0.987042  15782.478516
498  4.980000  0.987062  15782.850586
499  4.990000  0.986983  15779.420898
500  5.000000  0.986980  15779.662109
501  5.010000  0.986962  15778.930664
502  5.020000  0.986950  15777.862305
503  5.030000  0.986974  15780.276367
504  5.040000  0.986963  15780.511719
505  5.050000  0.986938  15779.366211
506  5.060000  0.986901  15778.005859
507  5.070000  0.986915  15778.888672
508  5.080000  0.986964  15781.651367
509  5.090000  0.986975  15782.109375
510  5.100000  0.986961  15781.916016
511  5.110000  0.986969  15782.258789
512  5.120000  0.986943  15782.067383
513  5.130000  0.986940  15781.523438
514  5.140000  0.986930  15780.256836
515  5.150000  0.986915  15779.884766
516  5.160000  0.986888  15779.006836
517  5.170000  0.986961  15782.372070
518  5.180000  0.986989  15783.995117
519  5.190000  0.986969  15782.658203
520  5.200000  0.986990  15783.313477
521  5.210000  0.986989  15783.230469
522  5.220000  0.986972  15782.718750
523  5.230000  0.986935  15780.877930
524  5.240000  0.986937  15781.189453
525  5.250000  0.986922  15780.676758
526  5.260000  0.986939  15782.070312
527  5.270000  0.986979  15783.732422
528  5.280000  0.986985  15784.104492
529  5.290000  0.986988  15784.642578
530  5.300000  0.986990  15784.461914
531  5.310000  0.986971  15783.563477
532  5.320000  0.986931  15782.058594
533  5.330000  0.986873  15779.875977
534  5.340000  0.986880  15779.754883
535  5.350000  0.986823  15777.256836
536  5.360000  0.986845  15777.367188
537  5.370000  0.986860  15778.110352
538  5.380000  0.986832  15776.976562
539  5.390000  0.986814  15777.000977
540  5.400000  0.986748  15773.341797
541  5.410000  0.986777  15774.581055
542  5.420000  0.986768  15774.840820
543  5.430000  0.986833  15777.221680
544  5.440000  0.986874  15779.583008
545  5.450000  0.986890  15779.593750
546  5.460000  0.986932  15780.968750
547  5.470000  0.986929  15782.023438
548  5.480000  0.986912  15781.637695
549  5.490000  0.986879  15779.814453
550  5.500000  0.986909  15781.480469
551  5.510000  0.986920  15782.755859
552  5.520000  0.986921  15782.681641
553  5.530000  0.986972  15785.392578
554  5.540000  0.986987  15786.511719
555  5.550000  0.986988  15786.971680
556  5.560000  0.986963  15786.030273
557  5.570000  0.986994  15788.031250
558  5.580000  0.986991  15787.810547
559  5.590000  0.986983  15787.672852
560  5.600000  0.986998  15788.859375
561  5.610000  0.986972  15788.261719
562  5.620000  0.986998  15789.772461
563  5.630000  0.987020  15791.311523
564  5.640000  0.987086  15794.084961
565  5.650000  0.987037  15792.670898
566  5.660000  0.986984  15790.256836
567  5.670000  0.987001  15790.833008
568  5.680000  0.986984  15789.582031
569  5.690000  0.986952  15788.080078
570  5.700000  0.986951  15788.623047
571  5.710000  0.986960  15788.922852
572  5.720000  0.986971  15789.253906
573  5.730000  0.986931  15787.112305
574  5.740000  0.986912  15785.975586
575  5.750000  0.986854  15782.598633
576  5.760000  0.986855  15781.560547
577  5.770000  0.986821  15779.259766
578  5.780000  0.986807  15778.422852
579  5.790000  0.986832  15778.757812
580  5.800000  0.986814  15778.585938
581  5.810000  0.986787  15778.445312
582  5.820000  0.986801  15779.186523
583  5.830000  0.986815  15780.963867
584  5.840000  0.986825  15780.859375
585  5.850000  0.986813  15780.958984
586  5.860000  0.986825  15782.636719
587  5.870000  0.986869  15784.937500
588  5.880000  0.986862  15784.676758
589  5.890000  0.986859  15783.849609
590  5.900000  0.986878  15785.386719
591  5.910000  0.986912  15786.632812
592  5.920000  0.986908  15786.598633
593  5.930000  0.986897  15784.875000
594  5.940000  0.986905  15784.844727
595  5.950000  0.986908  15785.120117
596  5.960000  0.986873  15783.478516
597  5.970000  0.986854  15780.713867
598  5.980000  0.986840  15779.954102
599  5.990000  0.986837  15779.669922
600  6.000000  0.986857  15780.843750
601  6.010000  0.986921  15783.630859
602  6.020000  0.986916  15783.445312
603  6.030000  0.986898  15782.610352
604  6.040000  0.986898  15782.579102
605  6.050000  0.986892  15782.809570
606  6.060000  0.986893  15782.046875
607  6.070000  0.986889  15781.499023
608  6.080000  0.986888  15782.463867
609  6.090000  0.986889  15782.962891
610  6.100000  0.986840  15779.965820
611  6.110000  0.986860  15779.970703
612  6.120000  0.986845  15780.297852
613  6.130000  0.986845  15780.835938
614  6.140000  0.986829  15780.197266
615  6.150000  0.986830  15780.371094
616  6.160000  0.986809  15779.776367
617  6.170000  0.986799  15779.300781
618  6.180000  0.986739  15776.852539
619  6.190000  0.986725  15775.964844
620  6.200000  0.986681  15775.168945
621  6.210000  0.986678  15775.710938
622  6.220000  0.986717  15778.095703
623  6.230000  0.986722  15778.653320
624  6.240000  0.986727  15778.099609
625  6.250000  0.986758  15779.345703
626  6.260000  0.986758  15780.115234
627  6.270000  0.986783  15781.166992
628  6.280000  0.986782  15780.798828
629  6.290000  0.986801  15780.795898
630  6.300000  0.986758  15779.676758
631  6.310000  0.986745  15779.317383
632  6.320000  0.986749  15779.367188
633  6.330000  0.986693  15776.684570
634  6.340000  0.986681  15776.208984
635  6.350000  0.986658  15774.458984
636  6.360000  0.986659  15774.809570
637  6.370000  0.986672  15774.921875
638  6.380000  0.986716  15778.088867
639  6.390000  0.986711  15778.874023
640  6.400000  0.986714  15779.087891
641  6.410000  0.986741  15781.056641
642  6.420000  0.986761  15781.344727
643  6.430000  0.986761  15781.635742
644  6.440000  0.986789  15782.366211
645  6.450000  0.986801  15782.550781
646  6.460000  0.986810  15783.420898
647  6.470000  0.986797  15782.546875
648  6.480000  0.986757  15781.061523
649  6.490000  0.986753  15780.958008
650  6.500000  0.986720  15779.555664
651  6.510000  0.986690  15778.459961
652  6.520000  0.986719  15779.814453
653  6.530000  0.986704  15779.126953
