# Rigorous CPU Noise Sweep Results
# Methodology: immediate.md compliant
# Grid: 128×128, dt = 0.01, K = 1, γ = 0.1
# Warmup: 5000 steps, Measurement: 10000 steps
# Noise: Proper Euler-Maruyama σ·√(dt)·N(0,1)
# IC: Pre-synchronized (R₀ ≈ 0.99)
#
# sigma  R_initial  R_final  R_mean  R_std  L_final  L_mean
0.000000e+00  1.000000  1.000000  1.000000  0.000000  16384  16384
1.000000e-05  1.000000  1.000000  1.000000  0.000000  16384  16384
1.000000e-04  1.000000  1.000000  1.000000  0.000000  16384  16384
1.000000e-03  1.000000  1.000000  1.000000  0.000044  16384  16383
1.000000e-02  1.000000  0.999965  0.999966  0.000042  16383  16383
5.000000e-02  1.000000  0.999152  0.999153  0.000231  16345  16345
1.000000e-01  1.000000  0.996590  0.996623  0.000164  16228  16230
1.500000e-01  1.000000  0.992235  0.992420  -nan  16034  16039
2.000000e-01  1.000000  0.986764  0.986424  0.000335  15780  15771
2.500000e-01  1.000000  0.979327  0.978705  0.000265  15451  15431
3.000000e-01  1.000000  0.969235  0.968834  0.000404  15020  15015
3.500000e-01  1.000000  0.957373  0.957259  0.000588  14536  14531
4.000000e-01  1.000000  0.943896  0.943978  0.000816  13999  13978
5.000000e-01  1.000000  0.909521  0.909175  0.001130  12623  12655
6.000000e-01  1.000000  0.863242  0.861693  0.001626  11062  11050
7.000000e-01  1.000000  0.799467  0.798270  0.003115  9181  9171
8.000000e-01  1.000000  0.695502  0.693944  0.003653  6738  6770
9.000000e-01  1.000000  0.519415  0.533569  0.008848  4132  4220
1.000000e+00  1.000000  0.353173  0.355930  0.010623  2412  2441
1.500000e+00  1.000000  0.061807  0.073406  0.006994  732  716
2.000000e+00  1.000000  0.019096  0.033013  0.005800  512  529
3.000000e+00  1.000000  0.019144  0.012804  0.005271  412  438
