# Timeseries for σ = 2.000000e+00
# step  t  R_global  L
0  0.000000  0.980428  15281.457031
1  0.010000  0.961497  14267.612305
2  0.020000  0.943375  13360.568359
3  0.030000  0.927013  12586.976562
4  0.040000  0.909923  11820.899414
5  0.050000  0.893342  11119.104492
6  0.060000  0.875991  10437.701172
7  0.070000  0.860293  9841.514648
8  0.080000  0.847116  9364.628906
9  0.090000  0.832372  8869.780273
10  0.100000  0.816917  8370.285156
11  0.110000  0.803309  7956.725098
12  0.120000  0.790208  7564.007812
13  0.130000  0.777083  7179.317383
14  0.140000  0.765758  6876.338379
15  0.150000  0.753450  6549.573242
16  0.160000  0.740644  6244.603516
17  0.170000  0.729631  5993.328125
18  0.180000  0.717438  5712.920410
19  0.190000  0.704701  5441.185547
20  0.200000  0.694388  5234.457031
21  0.210000  0.683233  5012.645508
22  0.220000  0.672841  4819.884766
23  0.230000  0.661961  4614.049805
24  0.240000  0.651812  4449.278320
25  0.250000  0.640994  4275.698730
26  0.260000  0.631258  4116.670410
27  0.270000  0.621345  3954.847656
28  0.280000  0.611491  3795.848877
29  0.290000  0.601682  3658.663574
30  0.300000  0.589457  3481.322266
31  0.310000  0.580771  3359.177490
32  0.320000  0.570501  3213.635010
33  0.330000  0.563082  3122.671875
34  0.340000  0.555316  3032.804199
35  0.350000  0.546290  2904.135498
36  0.360000  0.538876  2827.894043
37  0.370000  0.529914  2746.562744
38  0.380000  0.523426  2675.659424
39  0.390000  0.517553  2611.979492
40  0.400000  0.510853  2537.115723
41  0.410000  0.503869  2468.226807
42  0.420000  0.497232  2402.413330
43  0.430000  0.491264  2358.151367
44  0.440000  0.485554  2308.428223
45  0.450000  0.479863  2263.523926
46  0.460000  0.475757  2239.264893
47  0.470000  0.469789  2186.654541
48  0.480000  0.460792  2110.632080
49  0.490000  0.453424  2052.669678
50  0.500000  0.445700  1983.146118
51  0.510000  0.439776  1937.228882
52  0.520000  0.433380  1886.942017
53  0.530000  0.428488  1858.788818
54  0.540000  0.424469  1832.365234
55  0.550000  0.419394  1801.174561
56  0.560000  0.413141  1755.963013
57  0.570000  0.407735  1713.624146
58  0.580000  0.401711  1671.976196
59  0.590000  0.395685  1635.162109
60  0.600000  0.389179  1609.149536
61  0.610000  0.384003  1575.892700
62  0.620000  0.378822  1542.683105
63  0.630000  0.373077  1514.777832
64  0.640000  0.368498  1493.527222
65  0.650000  0.363212  1456.203125
66  0.660000  0.356782  1422.667725
67  0.670000  0.352214  1393.352173
68  0.680000  0.348124  1378.022949
69  0.690000  0.344214  1344.318481
70  0.700000  0.337846  1311.543823
71  0.710000  0.333817  1285.743408
72  0.720000  0.328153  1250.273560
73  0.730000  0.322766  1223.602295
74  0.740000  0.319027  1208.678223
75  0.750000  0.317343  1209.307739
76  0.760000  0.311057  1181.253052
77  0.770000  0.305266  1157.657471
78  0.780000  0.301029  1135.205444
79  0.790000  0.296718  1114.200806
80  0.800000  0.292925  1094.049438
81  0.810000  0.289200  1075.985596
82  0.820000  0.283938  1054.979736
83  0.830000  0.280507  1037.916748
84  0.840000  0.275854  1019.767212
85  0.850000  0.269851  997.578247
86  0.860000  0.266046  984.603210
87  0.870000  0.262820  974.363708
88  0.880000  0.257380  954.137207
89  0.890000  0.254502  932.567749
90  0.900000  0.251486  923.462952
91  0.910000  0.247660  907.202087
92  0.920000  0.243072  897.749695
93  0.930000  0.240200  887.059204
94  0.940000  0.235330  868.817993
95  0.950000  0.233142  867.550659
96  0.960000  0.231529  866.821899
97  0.970000  0.227233  854.195496
98  0.980000  0.225041  850.483765
99  0.990000  0.221506  828.141968
100  1.000000  0.220657  828.352478
101  1.010000  0.217581  824.443420
102  1.020000  0.214367  812.733398
103  1.030000  0.211405  805.539307
104  1.040000  0.206917  796.183716
105  1.050000  0.204677  787.438416
106  1.060000  0.203010  786.258545
107  1.070000  0.200986  783.258057
108  1.080000  0.198491  779.091248
109  1.090000  0.196678  771.606750
110  1.100000  0.192306  761.404114
111  1.110000  0.188577  751.209106
112  1.120000  0.185164  741.427368
113  1.130000  0.185065  735.047913
114  1.140000  0.182833  723.394897
115  1.150000  0.180758  723.509766
116  1.160000  0.177854  723.385010
117  1.170000  0.175170  718.733459
118  1.180000  0.172000  707.160767
119  1.190000  0.169815  697.431152
120  1.200000  0.167191  687.936096
121  1.210000  0.164473  681.819458
122  1.220000  0.162548  675.449036
123  1.230000  0.162569  676.955811
124  1.240000  0.161710  673.481934
125  1.250000  0.158368  669.507751
126  1.260000  0.159687  666.224365
127  1.270000  0.158899  666.730408
128  1.280000  0.157416  667.767029
129  1.290000  0.156181  670.067017
130  1.300000  0.154213  666.013062
131  1.310000  0.152027  669.913269
132  1.320000  0.149916  659.161560
133  1.330000  0.148229  655.064697
134  1.340000  0.146273  649.841003
135  1.350000  0.144269  649.822021
136  1.360000  0.143527  641.507996
137  1.370000  0.140155  637.911560
138  1.380000  0.139402  633.603394
139  1.390000  0.137865  630.489014
140  1.400000  0.134395  627.400330
141  1.410000  0.131800  620.109131
142  1.420000  0.130635  617.598755
143  1.430000  0.129278  613.772400
144  1.440000  0.128262  611.639587
145  1.450000  0.127982  608.472656
146  1.460000  0.125149  602.295532
147  1.470000  0.121953  600.572632
148  1.480000  0.120095  598.621033
149  1.490000  0.119148  602.667480
150  1.500000  0.118539  599.181213
151  1.510000  0.115795  598.308655
152  1.520000  0.114208  599.434387
153  1.530000  0.112589  597.775208
154  1.540000  0.111473  599.207825
155  1.550000  0.110877  603.343323
156  1.560000  0.109260  604.891968
157  1.570000  0.108229  611.863525
158  1.580000  0.108387  612.935852
159  1.590000  0.107732  611.692566
160  1.600000  0.105370  606.284058
161  1.610000  0.104689  606.485413
162  1.620000  0.103723  611.615723
163  1.630000  0.102087  612.803711
164  1.640000  0.101688  611.280823
165  1.650000  0.100679  603.473633
166  1.660000  0.100348  606.993042
167  1.670000  0.098949  606.674438
168  1.680000  0.098095  605.005371
169  1.690000  0.094374  607.747559
170  1.700000  0.092030  612.145508
171  1.710000  0.089815  612.319092
172  1.720000  0.088287  610.477783
173  1.730000  0.086717  609.908264
174  1.740000  0.085424  607.521912
175  1.750000  0.084636  596.518066
176  1.760000  0.083619  594.634705
177  1.770000  0.083180  595.728210
178  1.780000  0.082547  596.347473
179  1.790000  0.081355  592.873718
180  1.800000  0.081463  594.908997
181  1.810000  0.081627  594.421021
182  1.820000  0.080988  599.047302
183  1.830000  0.081411  601.346863
184  1.840000  0.081045  590.249451
185  1.850000  0.080877  587.082153
186  1.860000  0.078691  583.315979
187  1.870000  0.077689  574.184937
188  1.880000  0.076164  572.699341
189  1.890000  0.075706  570.893250
190  1.900000  0.074874  573.875671
191  1.910000  0.075816  572.664368
192  1.920000  0.075827  576.941833
193  1.930000  0.075882  574.591980
194  1.940000  0.074634  573.535400
195  1.950000  0.075462  570.721680
196  1.960000  0.073978  573.278198
197  1.970000  0.074113  573.815857
198  1.980000  0.074087  572.115417
199  1.990000  0.073163  573.206726
200  2.000000  0.072811  576.083435
201  2.010000  0.071874  578.447998
202  2.020000  0.071327  577.432129
203  2.030000  0.070289  580.083069
204  2.040000  0.071033  577.561279
205  2.050000  0.069411  573.478699
206  2.060000  0.068345  579.455933
207  2.070000  0.067550  580.845215
208  2.080000  0.066895  577.712585
209  2.090000  0.066043  570.772095
210  2.100000  0.064759  573.017883
211  2.110000  0.064697  578.681396
212  2.120000  0.063610  580.045227
213  2.130000  0.062657  580.650269
214  2.140000  0.062067  580.016357
215  2.150000  0.063293  580.346985
216  2.160000  0.063416  577.927856
217  2.170000  0.062386  572.893616
218  2.180000  0.063927  572.890320
219  2.190000  0.064092  569.959900
220  2.200000  0.062623  574.885559
221  2.210000  0.061136  568.381348
222  2.220000  0.060946  567.296387
223  2.230000  0.060232  566.462769
224  2.240000  0.059969  570.124817
225  2.250000  0.056835  568.268982
226  2.260000  0.056687  571.721985
227  2.270000  0.059137  566.885681
228  2.280000  0.056872  562.557068
229  2.290000  0.056325  557.997742
230  2.300000  0.054400  565.238342
231  2.310000  0.055352  566.181213
232  2.320000  0.055051  564.690674
233  2.330000  0.055022  565.541016
234  2.340000  0.055551  564.098694
235  2.350000  0.055432  567.138428
236  2.360000  0.057698  568.656128
237  2.370000  0.058525  569.018921
238  2.380000  0.056875  564.554749
239  2.390000  0.057228  562.226196
240  2.400000  0.055478  555.200928
241  2.410000  0.055534  552.338440
242  2.420000  0.054593  552.062378
243  2.430000  0.052235  547.774780
244  2.440000  0.051595  545.468445
245  2.450000  0.052889  549.068359
246  2.460000  0.051351  547.372009
247  2.470000  0.051497  547.659729
248  2.480000  0.049538  542.305359
249  2.490000  0.050440  545.979431
250  2.500000  0.049719  553.245911
251  2.510000  0.050378  553.676575
252  2.520000  0.050523  563.652344
253  2.530000  0.050535  560.107910
254  2.540000  0.052703  560.217651
255  2.550000  0.052205  555.728027
256  2.560000  0.053955  552.026550
257  2.570000  0.054618  546.969727
258  2.580000  0.055162  553.208679
259  2.590000  0.056475  558.373901
260  2.600000  0.057629  560.561768
261  2.610000  0.055719  563.343689
262  2.620000  0.053246  557.833496
263  2.630000  0.053787  560.182739
264  2.640000  0.054976  565.860657
265  2.650000  0.053682  569.872070
266  2.660000  0.053538  560.499390
267  2.670000  0.051537  560.398987
268  2.680000  0.052527  555.177979
269  2.690000  0.051845  553.774292
270  2.700000  0.051098  554.219543
271  2.710000  0.051676  556.144104
272  2.720000  0.053308  564.383179
273  2.730000  0.055021  561.680908
274  2.740000  0.054952  558.441345
275  2.750000  0.055498  563.893250
276  2.760000  0.054655  559.009033
277  2.770000  0.055820  563.889954
278  2.780000  0.054918  561.768555
279  2.790000  0.053675  558.325195
280  2.800000  0.051781  558.623779
281  2.810000  0.052492  566.050537
282  2.820000  0.052228  563.544556
283  2.830000  0.051597  558.615540
284  2.840000  0.050980  552.726929
285  2.850000  0.050533  549.850464
286  2.860000  0.048436  546.868225
287  2.870000  0.050299  545.217529
288  2.880000  0.051575  545.173706
289  2.890000  0.050601  555.454956
290  2.900000  0.050664  556.874512
291  2.910000  0.052050  565.285889
292  2.920000  0.052444  559.136047
293  2.930000  0.051734  562.066284
294  2.940000  0.050319  555.492432
295  2.950000  0.050505  552.653931
296  2.960000  0.050017  547.626648
297  2.970000  0.048688  545.954651
298  2.980000  0.048409  550.955688
299  2.990000  0.047278  545.176086
300  3.000000  0.045584  552.430542
301  3.010000  0.044475  555.344849
302  3.020000  0.042142  549.217834
303  3.030000  0.040554  554.089111
304  3.040000  0.041718  555.910706
305  3.050000  0.041158  562.505676
306  3.060000  0.041188  564.406067
307  3.070000  0.040985  568.063843
308  3.080000  0.039711  566.896851
309  3.090000  0.040257  565.996704
310  3.100000  0.041839  566.917236
311  3.110000  0.042181  567.203491
312  3.120000  0.044113  561.834412
313  3.130000  0.043747  566.698792
314  3.140000  0.043818  566.336609
315  3.150000  0.042430  560.306763
316  3.160000  0.042484  554.743774
317  3.170000  0.040958  551.846924
318  3.180000  0.040947  553.506775
319  3.190000  0.040081  558.336426
320  3.200000  0.040195  556.533203
321  3.210000  0.039601  552.171997
322  3.220000  0.041050  557.383545
323  3.230000  0.039578  558.799500
324  3.240000  0.039752  559.149902
325  3.250000  0.039521  557.073730
326  3.260000  0.039645  548.756531
327  3.270000  0.040879  545.680908
328  3.280000  0.039878  544.306641
329  3.290000  0.040825  549.712280
330  3.300000  0.040853  552.999390
331  3.310000  0.041299  554.046387
332  3.320000  0.041325  560.082581
333  3.330000  0.039815  555.051331
334  3.340000  0.040257  552.087219
335  3.350000  0.042003  562.073547
336  3.360000  0.043249  558.120422
337  3.370000  0.042963  563.549927
338  3.380000  0.041672  552.292358
339  3.390000  0.041804  553.803711
340  3.400000  0.041581  560.328552
341  3.410000  0.042534  560.197998
342  3.420000  0.042839  560.654785
343  3.430000  0.043106  558.857300
344  3.440000  0.043930  556.673157
345  3.450000  0.042663  551.730225
346  3.460000  0.043838  552.862732
347  3.470000  0.045870  549.208130
348  3.480000  0.045087  545.366943
349  3.490000  0.044311  547.071350
350  3.500000  0.043498  545.979492
351  3.510000  0.044186  547.761963
352  3.520000  0.043970  539.206970
353  3.530000  0.043192  539.658752
354  3.540000  0.042379  530.240051
355  3.550000  0.042527  527.124756
356  3.560000  0.042891  522.449707
357  3.570000  0.040952  528.456421
358  3.580000  0.041222  536.902710
359  3.590000  0.040126  539.777100
360  3.600000  0.040250  543.261719
361  3.610000  0.041128  544.148071
362  3.620000  0.041692  542.818848
363  3.630000  0.042119  544.270203
364  3.640000  0.041568  543.284851
365  3.650000  0.041420  541.717957
366  3.660000  0.041618  541.415527
367  3.670000  0.041083  541.503357
368  3.680000  0.040901  548.667236
369  3.690000  0.040599  551.484192
370  3.700000  0.040772  551.738586
371  3.710000  0.041992  551.321472
372  3.720000  0.041888  558.551941
373  3.730000  0.041945  555.161804
374  3.740000  0.042384  555.067871
375  3.750000  0.041346  558.467224
376  3.760000  0.042310  558.921448
377  3.770000  0.040898  555.264832
378  3.780000  0.038711  556.536743
379  3.790000  0.037848  547.671936
380  3.800000  0.037451  543.426880
381  3.810000  0.035681  542.642151
382  3.820000  0.035429  550.626770
383  3.830000  0.033878  552.499390
384  3.840000  0.033996  551.398499
385  3.850000  0.034359  554.632874
386  3.860000  0.034513  554.896729
387  3.870000  0.032819  554.332153
388  3.880000  0.032752  549.322998
389  3.890000  0.033467  549.503601
390  3.900000  0.032551  549.728943
391  3.910000  0.032132  555.864197
392  3.920000  0.031452  552.135437
393  3.930000  0.031997  553.510925
394  3.940000  0.032026  557.131897
395  3.950000  0.032204  557.922546
396  3.960000  0.032943  563.725708
397  3.970000  0.032115  563.368958
398  3.980000  0.032959  566.152161
399  3.990000  0.033040  565.279663
400  4.000000  0.031960  564.201355
401  4.010000  0.032498  561.671570
402  4.020000  0.032523  557.048950
403  4.030000  0.031214  555.360840
404  4.040000  0.030888  549.958740
405  4.050000  0.030668  555.408447
406  4.060000  0.031322  562.449646
407  4.070000  0.031233  563.549194
408  4.080000  0.030639  560.903503
409  4.090000  0.030542  557.126160
410  4.100000  0.028448  559.592224
411  4.110000  0.028729  549.485779
412  4.120000  0.029857  542.652039
413  4.130000  0.029698  541.377930
414  4.140000  0.030455  535.091919
415  4.150000  0.031879  528.523071
416  4.160000  0.032318  523.700806
417  4.170000  0.034394  520.045166
418  4.180000  0.033504  522.993164
419  4.190000  0.033962  515.633911
420  4.200000  0.034736  513.171082
421  4.210000  0.034923  504.987946
422  4.220000  0.034698  506.534973
423  4.230000  0.035903  507.128601
424  4.240000  0.034925  506.050781
425  4.250000  0.034782  505.658600
426  4.260000  0.035893  507.158356
427  4.270000  0.035853  507.997253
428  4.280000  0.035255  516.094421
429  4.290000  0.037016  517.414612
430  4.300000  0.036967  512.837158
431  4.310000  0.037500  517.490601
432  4.320000  0.038069  514.769958
433  4.330000  0.037260  511.992950
434  4.340000  0.036939  513.328857
435  4.350000  0.034169  510.516083
436  4.360000  0.033625  514.429504
437  4.370000  0.034099  519.360107
438  4.380000  0.033887  525.541077
439  4.390000  0.033669  528.857056
440  4.400000  0.034673  529.451721
441  4.410000  0.032949  529.313843
442  4.420000  0.034323  531.685425
443  4.430000  0.034213  533.963196
444  4.440000  0.035234  538.346497
445  4.450000  0.035089  549.976501
446  4.460000  0.035944  552.057373
447  4.470000  0.034104  550.099487
448  4.480000  0.036049  544.127136
449  4.490000  0.036022  539.650818
450  4.500000  0.035076  529.998474
451  4.510000  0.035750  532.291382
452  4.520000  0.035975  532.680298
453  4.530000  0.038095  531.849976
454  4.540000  0.038946  529.358582
455  4.550000  0.040240  530.837036
456  4.560000  0.041733  530.946716
457  4.570000  0.043829  534.427307
458  4.580000  0.043658  528.244507
459  4.590000  0.042498  529.853760
460  4.600000  0.043910  522.789856
461  4.610000  0.044403  522.474548
462  4.620000  0.042931  520.336670
463  4.630000  0.040575  519.637451
464  4.640000  0.039741  525.105164
465  4.650000  0.040645  524.401001
466  4.660000  0.038781  524.925964
467  4.670000  0.038751  521.059448
468  4.680000  0.039140  519.092041
469  4.690000  0.039297  521.806091
470  4.700000  0.039248  529.058777
471  4.710000  0.037520  531.298706
472  4.720000  0.037804  533.999207
473  4.730000  0.037054  532.387512
474  4.740000  0.036058  528.946655
475  4.750000  0.036340  523.820251
476  4.760000  0.034863  520.787231
477  4.770000  0.036492  523.262695
478  4.780000  0.037323  521.577454
479  4.790000  0.039221  528.836548
480  4.800000  0.040330  530.256714
481  4.810000  0.040189  528.320679
482  4.820000  0.039933  533.777161
483  4.830000  0.039061  534.650696
484  4.840000  0.041075  529.248352
485  4.850000  0.041784  539.510559
486  4.860000  0.041771  541.170166
487  4.870000  0.040484  540.935425
488  4.880000  0.039097  542.491516
489  4.890000  0.038695  540.483704
490  4.900000  0.037272  540.527222
491  4.910000  0.036087  549.447815
492  4.920000  0.037474  549.110901
493  4.930000  0.037668  547.525269
494  4.940000  0.036247  546.805420
495  4.950000  0.036482  550.302307
496  4.960000  0.037232  544.457520
497  4.970000  0.038769  549.249268
498  4.980000  0.038809  547.997253
499  4.990000  0.038279  545.940796
500  5.000000  0.039668  549.392944
501  5.010000  0.040956  548.187805
502  5.020000  0.038971  545.931580
503  5.030000  0.040940  546.018555
504  5.040000  0.042369  542.797119
505  5.050000  0.041443  538.082886
506  5.060000  0.042854  537.360840
507  5.070000  0.042860  544.900024
508  5.080000  0.041257  535.493774
509  5.090000  0.042946  535.875122
510  5.100000  0.043361  530.417175
511  5.110000  0.042745  520.659973
512  5.120000  0.044801  519.288818
513  5.130000  0.045058  521.253723
514  5.140000  0.044523  527.181458
515  5.150000  0.044438  528.308594
516  5.160000  0.043143  523.821533
517  5.170000  0.041627  524.883545
518  5.180000  0.041005  526.020142
519  5.190000  0.042892  529.792480
520  5.200000  0.042839  529.657654
521  5.210000  0.044088  528.971863
522  5.220000  0.042353  531.355103
523  5.230000  0.043208  527.963928
524  5.240000  0.043707  530.609192
525  5.250000  0.044103  532.802002
526  5.260000  0.045920  531.271851
527  5.270000  0.046207  522.745911
528  5.280000  0.045951  523.277771
529  5.290000  0.044274  521.124329
530  5.300000  0.044634  529.451172
531  5.310000  0.045915  534.065613
532  5.320000  0.046656  538.424683
533  5.330000  0.046400  537.561951
534  5.340000  0.047054  543.122253
535  5.350000  0.046455  544.480835
536  5.360000  0.048574  545.686646
537  5.370000  0.047070  542.542664
538  5.380000  0.045709  545.720642
539  5.390000  0.046214  545.247070
540  5.400000  0.045810  544.172607
541  5.410000  0.044697  541.647766
542  5.420000  0.043620  537.750305
543  5.430000  0.044278  536.789734
544  5.440000  0.045033  533.636414
545  5.450000  0.044491  523.409302
546  5.460000  0.044243  529.218994
547  5.470000  0.045050  529.119141
548  5.480000  0.044654  527.897705
549  5.490000  0.043454  530.967529
550  5.500000  0.042027  528.195068
551  5.510000  0.042524  524.085205
552  5.520000  0.042842  527.243896
553  5.530000  0.043152  529.684021
554  5.540000  0.041072  534.433289
555  5.550000  0.040211  531.268005
556  5.560000  0.040294  528.853516
557  5.570000  0.040445  526.883240
558  5.580000  0.038048  532.337402
559  5.590000  0.038472  535.278320
560  5.600000  0.037565  536.084656
561  5.610000  0.037905  543.482910
562  5.620000  0.037761  546.229858
563  5.630000  0.036419  541.855469
564  5.640000  0.038766  538.129333
565  5.650000  0.037654  539.378967
566  5.660000  0.038332  544.208496
567  5.670000  0.038767  549.581421
568  5.680000  0.037756  547.717224
569  5.690000  0.038080  549.926697
570  5.700000  0.038541  548.613647
571  5.710000  0.038936  550.317078
572  5.720000  0.038350  550.771545
573  5.730000  0.039701  550.795837
574  5.740000  0.039403  551.258301
575  5.750000  0.039375  548.277649
576  5.760000  0.039845  546.084290
577  5.770000  0.039196  549.967590
578  5.780000  0.039678  554.419800
579  5.790000  0.039073  551.671143
580  5.800000  0.038577  545.689758
581  5.810000  0.038894  544.404846
582  5.820000  0.039116  549.167603
583  5.830000  0.040094  546.906189
584  5.840000  0.039568  551.319580
585  5.850000  0.037940  548.376648
586  5.860000  0.039831  550.507751
587  5.870000  0.038194  546.251587
588  5.880000  0.038740  542.002258
589  5.890000  0.038896  545.070374
590  5.900000  0.039786  548.699707
591  5.910000  0.039245  548.266541
592  5.920000  0.038719  547.620667
593  5.930000  0.040133  548.765137
594  5.940000  0.038841  546.277588
595  5.950000  0.039786  541.042542
596  5.960000  0.040709  541.377014
597  5.970000  0.041931  540.030701
598  5.980000  0.041329  538.977844
599  5.990000  0.043547  543.396667
600  6.000000  0.043034  541.724609
601  6.010000  0.041893  537.641541
602  6.020000  0.041892  538.832153
603  6.030000  0.043429  535.921143
604  6.040000  0.043414  536.655640
605  6.050000  0.043811  538.175598
606  6.060000  0.043614  534.673462
607  6.070000  0.042861  534.489319
608  6.080000  0.043070  525.661560
609  6.090000  0.042897  528.115845
610  6.100000  0.041817  526.813782
611  6.110000  0.040265  524.659790
612  6.120000  0.040647  520.062561
613  6.130000  0.038954  523.342957
614  6.140000  0.039417  521.632751
615  6.150000  0.039796  528.920288
616  6.160000  0.040541  527.076477
617  6.170000  0.040793  527.448425
618  6.180000  0.039707  532.139465
619  6.190000  0.040634  538.044250
620  6.200000  0.039008  533.862366
621  6.210000  0.037397  532.148071
622  6.220000  0.034001  532.891907
623  6.230000  0.033962  538.144714
624  6.240000  0.035114  541.270447
625  6.250000  0.034019  543.303650
626  6.260000  0.035472  541.371704
627  6.270000  0.034511  541.086914
628  6.280000  0.035386  534.777466
629  6.290000  0.036288  536.174438
630  6.300000  0.034565  538.684570
631  6.310000  0.033615  531.133179
632  6.320000  0.032191  533.645508
633  6.330000  0.032784  527.459412
634  6.340000  0.033506  525.992249
635  6.350000  0.032349  530.999084
636  6.360000  0.031371  527.171631
637  6.370000  0.031260  531.431946
638  6.380000  0.033400  537.398926
639  6.390000  0.031257  537.317322
640  6.400000  0.029346  540.173157
641  6.410000  0.026896  535.178589
642  6.420000  0.027066  535.306213
643  6.430000  0.026279  536.152405
644  6.440000  0.025572  532.809692
645  6.450000  0.026127  541.087646
646  6.460000  0.026492  544.058960
647  6.470000  0.025871  543.650330
648  6.480000  0.025507  545.643738
649  6.490000  0.026236  542.622009
650  6.500000  0.026640  542.666931
651  6.510000  0.026963  539.560242
652  6.520000  0.026066  539.924438
653  6.530000  0.024980  531.554871
654  6.540000  0.023260  535.872925
655  6.550000  0.021014  532.744080
656  6.560000  0.019629  524.041870
657  6.570000  0.019324  527.734985
658  6.580000  0.018567  535.456604
659  6.590000  0.020801  542.208801
660  6.600000  0.022080  543.270081
661  6.610000  0.021419  546.599365
662  6.620000  0.020202  551.195496
663  6.630000  0.020028  554.571045
664  6.640000  0.019049  549.833984
665  6.650000  0.019456  552.787231
666  6.660000  0.017718  554.858826
667  6.670000  0.016760  553.376160
668  6.680000  0.017967  553.695740
669  6.690000  0.019219  549.011475
670  6.700000  0.021222  554.556702
671  6.710000  0.021734  552.766357
672  6.720000  0.021919  551.099060
673  6.730000  0.022959  553.910522
674  6.740000  0.024566  549.611145
675  6.750000  0.024905  548.878052
676  6.760000  0.024957  553.200317
677  6.770000  0.024721  552.705750
678  6.780000  0.025116  557.969177
679  6.790000  0.024552  556.895020
680  6.800000  0.024974  553.204407
681  6.810000  0.026346  548.854065
682  6.820000  0.025105  549.199402
683  6.830000  0.027580  547.130371
684  6.840000  0.027301  545.195740
685  6.850000  0.027293  546.155762
686  6.860000  0.027542  540.465271
687  6.870000  0.027892  536.988953
