# Timeseries for σ = 1.000000e-06
# step  t  R_global  L
0  0.000000  1.000000  16384.000000
1  0.010000  1.000000  16384.000000
2  0.020000  1.000000  16384.000000
3  0.030000  1.000000  16384.000000
4  0.040000  1.000000  16384.000000
5  0.050000  1.000000  16384.000000
6  0.060000  1.000000  16384.000000
7  0.070000  1.000000  16384.000000
8  0.080000  1.000000  16384.000000
9  0.090000  1.000000  16384.000000
10  0.100000  1.000000  16384.000000
11  0.110000  1.000000  16384.000000
12  0.120000  1.000000  16384.000000
13  0.130000  1.000000  16384.000000
14  0.140000  1.000000  16384.000000
15  0.150000  1.000000  16384.000000
16  0.160000  1.000000  16384.000000
17  0.170000  1.000000  16384.000000
18  0.180000  1.000000  16384.000000
19  0.190000  1.000000  16384.000000
20  0.200000  1.000000  16384.000000
21  0.210000  1.000000  16384.000000
22  0.220000  1.000000  16384.000000
23  0.230000  1.000000  16384.000000
24  0.240000  1.000000  16384.000000
25  0.250000  1.000000  16384.000000
26  0.260000  1.000000  16384.000000
27  0.270000  1.000000  16384.000000
28  0.280000  1.000000  16384.000000
29  0.290000  1.000000  16384.000000
30  0.300000  1.000000  16384.000000
31  0.310000  1.000000  16384.000000
32  0.320000  1.000000  16384.000000
33  0.330000  1.000000  16384.000000
34  0.340000  1.000000  16384.000000
35  0.350000  1.000000  16384.000000
36  0.360000  1.000000  16384.000000
37  0.370000  1.000000  16384.000000
38  0.380000  1.000000  16384.000000
39  0.390000  1.000000  16384.000000
40  0.400000  1.000000  16384.000000
41  0.410000  1.000000  16384.000000
42  0.420000  1.000000  16384.000000
43  0.430000  1.000000  16384.000000
44  0.440000  1.000000  16384.000000
45  0.450000  1.000000  16384.000000
46  0.460000  1.000000  16384.000000
47  0.470000  1.000000  16384.000000
48  0.480000  1.000000  16384.000000
49  0.490000  1.000000  16384.000000
50  0.500000  1.000000  16384.000000
51  0.510000  1.000000  16384.000000
52  0.520000  1.000000  16384.000000
53  0.530000  1.000000  16384.000000
54  0.540000  1.000000  16384.000000
55  0.550000  1.000000  16384.000000
56  0.560000  1.000000  16384.000000
57  0.570000  1.000000  16384.000000
58  0.580000  1.000000  16384.000000
59  0.590000  1.000000  16384.000000
60  0.600000  1.000000  16384.000000
61  0.610000  1.000000  16384.000000
62  0.620000  1.000000  16384.000000
63  0.630000  1.000000  16384.000000
64  0.640000  1.000000  16384.000000
65  0.650000  1.000000  16384.000000
66  0.660000  1.000000  16384.000000
67  0.670000  1.000000  16384.000000
68  0.680000  1.000000  16384.000000
69  0.690000  1.000000  16384.000000
70  0.700000  1.000000  16384.000000
71  0.710000  1.000000  16384.000000
72  0.720000  1.000000  16384.000000
73  0.730000  1.000000  16384.000000
74  0.740000  1.000000  16384.000000
75  0.750000  1.000000  16384.000000
76  0.760000  1.000000  16384.000000
77  0.770000  1.000000  16384.000000
78  0.780000  1.000000  16384.000000
79  0.790000  1.000000  16384.000000
80  0.800000  1.000000  16384.000000
81  0.810000  1.000000  16384.000000
82  0.820000  1.000000  16384.000000
83  0.830000  1.000000  16384.000000
84  0.840000  1.000000  16384.000000
85  0.850000  1.000000  16384.000000
86  0.860000  1.000000  16384.000000
87  0.870000  1.000000  16384.000000
88  0.880000  1.000000  16384.000000
89  0.890000  1.000000  16384.000000
90  0.900000  1.000000  16384.000000
91  0.910000  1.000000  16384.000000
92  0.920000  1.000000  16384.000000
93  0.930000  1.000000  16384.000000
94  0.940000  1.000000  16384.000000
95  0.950000  1.000000  16384.000000
96  0.960000  1.000000  16384.000000
97  0.970000  1.000000  16384.000000
98  0.980000  1.000000  16384.000000
99  0.990000  1.000000  16384.000000
100  1.000000  1.000000  16384.000000
101  1.010000  1.000000  16384.000000
102  1.020000  1.000000  16384.000000
103  1.030000  1.000000  16384.000000
104  1.040000  1.000000  16384.000000
105  1.050000  1.000000  16384.000000
106  1.060000  1.000000  16384.000000
107  1.070000  1.000000  16384.000000
108  1.080000  1.000000  16384.000000
109  1.090000  1.000000  16384.000000
110  1.100000  1.000000  16384.000000
111  1.110000  1.000000  16384.000000
112  1.120000  1.000000  16384.000000
113  1.130000  1.000000  16384.000000
114  1.140000  1.000000  16384.000000
115  1.150000  1.000000  16384.000000
116  1.160000  1.000000  16384.000000
117  1.170000  1.000000  16384.000000
118  1.180000  1.000000  16384.000000
119  1.190000  1.000000  16384.000000
120  1.200000  1.000000  16384.000000
121  1.210000  1.000000  16384.000000
122  1.220000  1.000000  16384.000000
123  1.230000  1.000000  16384.000000
124  1.240000  1.000000  16384.000000
125  1.250000  1.000000  16384.000000
126  1.260000  1.000000  16384.000000
127  1.270000  1.000000  16384.000000
128  1.280000  1.000000  16384.000000
