# Field snapshot at t = 2
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
0  0  -0.023564  0.999383  2.498458  0.000189  0.004493  0.002560  0.006020  -0.002213  0.003939  0.000338  0.007011  -0.007534
1  0  -0.017962  0.999619  2.499048  0.000224  0.000059  -0.006589  0.006002  -0.007367  0.002875  0.008264  0.000173  -0.003734
2  0  0.009895  0.999725  2.499313  0.000123  -0.007487  -0.000193  -0.004068  -0.000556  -0.003671  -0.002252  -0.004191  0.003672
3  0  0.037332  0.999292  2.498230  0.000149  0.003552  0.003004  0.001156  0.005497  -0.004771  0.002674  -0.007896  -0.001947
4  0  0.049301  0.999211  2.498028  0.000111  -0.002572  -0.002070  -0.001780  0.008740  0.000234  -0.002722  0.003021  0.002068
5  0  0.003094  0.999208  2.498020  0.000115  0.001881  -0.006368  -0.004189  -0.001096  -0.005819  -0.002735  -0.001787  -0.002671
6  0  -0.003576  0.999685  2.499211  0.000181  -0.001968  0.006149  -0.006351  -0.002725  0.006589  0.005577  0.001805  -0.003744
7  0  -0.026815  0.999778  2.499444  0.000154  -0.000355  -0.002575  0.002724  0.002458  0.003516  -0.000444  0.002545  0.010717
8  0  0.020088  0.999459  2.498647  0.000171  -0.003211  -0.001719  -0.001968  0.000564  -0.010943  0.000837  -0.005731  -0.000469
9  0  -0.061656  0.999548  2.498871  0.000124  0.001973  -0.000990  -0.000687  -0.000722  0.007316  -0.005812  0.004998  -0.002342
10  0  -0.025564  0.999768  2.499419  0.000183  0.000804  -0.003172  -0.003862  -0.001653  0.005391  0.000285  -0.009767  0.005518
11  0  -0.010532  0.999853  2.499633  0.000314  0.003008  0.001826  0.007392  0.005127  -0.005505  0.006929  -0.011767  -0.001967
12  0  -0.023855  0.999694  2.499236  0.000134  0.002083  -0.006258  0.001075  -0.002515  -0.004143  0.007888  -0.001451  -0.001032
13  0  -0.038696  0.999683  2.499208  0.000144  0.006498  -0.004450  0.002086  0.003294  -0.001608  0.000060  -0.003183  -0.007349
14  0  -0.039362  0.998853  2.497133  0.000432  0.004397  -0.004310  -0.000094  0.006905  -0.007971  -0.006518  0.014280  -0.006035
15  0  0.118695  0.998867  2.497168  0.000077  -0.002676  -0.000468  -0.000003  0.001671  0.008105  -0.000648  0.000416  -0.000948
