# Dirac-Kuramoto Stochastic Evolution Timeseries
# Grid: 64 x 64
# dt = 0.01, sigma_theta = 0.05, sigma_psi = 0.05
# Columns: time  R_global  spinor_norm  particle_x  particle_y  particle_drift
0.000000  0.999991  1.000001  32.000004  32.000004  0.000005
0.100000  0.999873  1.000012  31.960440  31.937780  0.073731
0.200000  0.999780  1.000013  31.932968  31.917404  0.106374
0.300000  0.999713  1.000012  31.916639  31.869827  0.154577
0.400000  0.999652  1.000010  31.894499  31.862253  0.173507
0.500000  0.999595  1.000013  31.876150  31.875078  0.175910
0.600000  0.999544  1.000022  31.847124  31.804756  0.247974
0.700000  0.999510  1.000011  31.840887  31.745691  0.299983
0.800000  0.999483  1.000012  31.781267  31.737162  0.341947
0.900000  0.999475  1.000018  31.789104  31.693159  0.372328
1.000000  0.999462  1.000016  31.786848  31.723804  0.348881
1.100000  0.999448  0.999994  31.724470  31.689926  0.414804
1.200000  0.999426  0.999989  31.620928  31.647038  0.517956
1.300000  0.999405  0.999978  31.659782  31.679306  0.467539
1.400000  0.999387  0.999960  31.693115  31.678574  0.444402
1.500000  0.999367  0.999957  31.672190  31.696022  0.447059
1.600000  0.999347  0.999960  31.653265  31.624289  0.511258
1.700000  0.999323  0.999962  31.588079  31.679224  0.522088
1.800000  0.999322  0.999948  31.588873  31.548407  0.610706
1.900000  0.999313  0.999955  31.554459  31.586384  0.607935
2.000000  0.999317  0.999960  31.440105  31.565462  0.708735
2.100000  0.999313  0.999959  31.537884  31.513580  0.670936
2.200000  0.999308  0.999958  31.512383  31.561613  0.655709
2.300000  0.999288  0.999945  31.502859  31.577810  0.652222
2.400000  0.999271  0.999943  31.450739  31.555399  0.706653
2.500000  0.999273  0.999945  31.420059  31.506964  0.761194
2.600000  0.999266  0.999937  31.489065  31.514011  0.705152
2.700000  0.999269  0.999938  31.394800  31.490849  0.790887
2.800000  0.999275  0.999945  31.317968  31.475948  0.860115
2.900000  0.999267  0.999941  31.300692  31.473906  0.875104
3.000000  0.999257  0.999935  31.232424  31.472832  0.931171
3.100000  0.999249  0.999937  31.260977  31.437908  0.928495
3.200000  0.999252  0.999937  31.230139  31.341488  1.013077
3.300000  0.999247  0.999937  31.356409  31.447224  0.848393
3.400000  0.999234  0.999944  31.360571  31.477921  0.825492
3.500000  0.999238  0.999930  31.369778  31.507048  0.800114
3.600000  0.999256  0.999931  31.357157  31.513391  0.806248
3.700000  0.999247  0.999934  31.392372  31.549042  0.756687
3.800000  0.999231  0.999943  31.441076  31.647749  0.660664
3.900000  0.999242  0.999941  31.366869  31.633780  0.731418
4.000000  0.999236  0.999922  31.436745  31.624197  0.677115
4.100000  0.999231  0.999924  31.467758  31.534182  0.707296
4.200000  0.999232  0.999928  31.374577  31.609932  0.737094
4.300000  0.999228  0.999920  31.352345  31.621086  0.750355
4.400000  0.999216  0.999932  31.293140  31.587980  0.818175
4.500000  0.999209  0.999931  31.389847  31.597492  0.730958
4.600000  0.999213  0.999930  31.363218  31.604366  0.749678
4.700000  0.999219  0.999941  31.383459  31.628901  0.719609
4.800000  0.999215  0.999938  31.356005  31.642279  0.736678
4.900000  0.999218  0.999932  31.392466  31.536711  0.764026
5.000000  0.999222  0.999932  31.425018  31.511166  0.754694
