# Field snapshot at t = 80 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
0  0  -0.025563  0.999273  2.498183  0.000034  -0.003291  -0.002354  -0.000499  -0.001210  -0.000729  0.000443  -0.003264  0.002151
1  0  -0.000687  0.999477  2.498693  0.000250  0.003718  0.002628  -0.012596  0.000229  0.006264  0.003295  -0.001318  0.004379
2  0  -0.039809  0.999603  2.499007  0.000182  -0.004079  0.006503  -0.003276  -0.003121  0.005498  -0.001919  0.003818  0.007364
3  0  0.039051  0.999576  2.498941  0.000317  0.002814  -0.004309  0.011011  -0.002842  0.006543  -0.003072  -0.003471  0.009832
4  0  0.033496  0.999723  2.499308  0.000541  -0.006102  0.011381  0.000688  -0.002396  0.014868  -0.004942  0.011031  -0.000985
5  0  0.033119  0.999563  2.498906  0.000277  0.008715  0.003400  -0.001787  0.000118  0.004711  0.002347  0.002678  0.012314
6  0  -0.031240  0.999484  2.498711  0.000242  0.000512  -0.001420  0.006643  0.006918  -0.007791  -0.008198  -0.000980  -0.004345
7  0  0.001065  0.999172  2.497931  0.000172  0.001595  0.002925  0.003104  -0.004083  0.002980  -0.008772  0.000894  0.006897
8  0  -0.028688  0.999476  2.498689  0.000088  -0.000979  0.005122  0.001797  0.005509  -0.003491  -0.000396  -0.003847  0.000013
9  0  -0.021114  0.998889  2.497222  0.000062  0.000878  0.003210  -0.003058  -0.000249  0.001744  -0.003654  0.001116  -0.004885
10  0  -0.094806  0.999308  2.498271  0.000171  -0.003846  -0.004951  -0.001762  0.000179  -0.000699  0.004601  0.002371  0.010074
11  0  0.022049  0.999130  2.497825  0.000118  -0.006921  0.000971  0.003367  -0.000349  0.006277  -0.000965  -0.000341  0.004200
12  0  -0.052246  0.999579  2.498947  0.000205  0.002739  -0.003557  -0.006083  -0.002152  -0.009227  -0.003568  -0.006693  0.000964
13  0  -0.014969  0.999628  2.499069  0.000138  0.001193  0.002691  0.005861  0.001364  0.002952  0.008802  0.002300  -0.001233
14  0  0.014969  0.999421  2.498553  0.000148  -0.000755  -0.006013  0.002350  0.000487  0.001166  -0.008849  0.002233  0.004599
15  0  0.006704  0.999414  2.498535  0.000312  -0.006880  0.005874  -0.012459  0.006878  -0.000923  -0.001134  -0.004704  -0.001824
16  0  0.014208  0.998964  2.497410  0.000386  -0.002805  -0.005780  -0.010159  -0.004248  -0.005266  0.010656  -0.008041  -0.004155
17  0  0.066023  0.999278  2.498194  0.000305  0.001052  0.001177  -0.006312  -0.007593  -0.001930  0.000143  0.003565  -0.013742
18  0  0.064585  0.998666  2.496666  0.000422  -0.010560  -0.003657  -0.012262  0.003446  0.005059  0.001867  0.002215  0.010046
19  0  -0.051159  0.999181  2.497952  0.000334  0.008989  -0.000655  0.004321  0.002886  -0.002258  0.000011  0.014432  -0.003485
20  0  -0.013348  0.999612  2.499030  0.000188  -0.002083  0.004918  -0.008527  -0.003769  0.005381  0.005125  0.000137  0.004171
21  0  0.043529  0.999746  2.499365  0.000142  0.003345  0.002292  -0.000404  0.004503  0.001059  -0.001662  -0.007430  0.006819
22  0  -0.006000  0.999576  2.498941  0.000262  -0.005473  0.010507  -0.000716  -0.006714  0.001265  -0.002343  0.001736  -0.008152
23  0  -0.026946  0.999767  2.499418  0.000113  -0.001080  -0.003061  0.002932  0.007150  0.004862  -0.002524  -0.001726  0.003132
24  0  0.013499  0.999485  2.498712  0.000225  -0.009065  0.005304  0.001375  0.004526  0.008016  -0.003598  0.003673  0.001353
25  0  0.022998  0.999625  2.499061  0.000230  -0.005260  0.001372  0.007268  -0.003386  -0.007389  -0.006688  0.006000  0.000900
26  0  -0.037633  0.999207  2.498019  0.000112  0.000723  0.002692  -0.000211  -0.004701  -0.001406  -0.008673  0.001361  0.001838
27  0  -0.020042  0.999671  2.499178  0.000111  -0.004702  0.003163  0.001627  0.005054  0.003663  0.005095  0.001108  -0.003197
28  0  -0.015184  0.999392  2.498480  0.000068  0.004791  0.003214  0.001677  -0.000838  0.000952  -0.003313  -0.002408  0.003704
29  0  0.036217  0.999337  2.498343  0.000550  0.010157  -0.010262  -0.014772  -0.008573  0.000697  0.005375  0.004521  -0.000664
30  0  0.043573  0.999276  2.498190  0.000044  -0.001128  -0.004141  -0.003282  0.000323  0.000405  -0.002845  -0.002503  -0.000808
31  0  0.046222  0.999630  2.499075  0.000206  0.009685  0.000892  0.004884  0.004368  0.006202  -0.000347  -0.005502  0.000127
32  0  -0.000024  0.999511  2.498777  0.000209  -0.006100  0.002037  0.008794  0.001425  0.001598  0.002565  -0.008113  0.003609
33  0  0.065251  0.999625  2.499063  0.000244  0.006413  0.004342  -0.001596  -0.003612  -0.005214  -0.001111  0.008392  -0.008339
34  0  0.005316  0.999594  2.498984  0.000171  0.001646  -0.001122  -0.003769  -0.004555  0.001559  0.006059  0.002396  -0.009344
35  0  -0.014779  0.999855  2.499636  0.000160  0.007100  0.002743  -0.000617  0.001149  -0.001902  0.001934  -0.003603  0.008957
36  0  -0.009743  0.999644  2.499109  0.000240  -0.003293  -0.008198  -0.005843  -0.004831  0.000745  0.006555  -0.007581  -0.001763
37  0  -0.074735  0.999572  2.498929  0.000079  -0.002272  0.006434  0.001038  0.000070  0.003856  -0.001458  -0.003574  0.001427
38  0  -0.049610  0.999437  2.498593  0.000436  -0.001080  -0.004906  0.004017  0.002901  -0.012548  0.009850  -0.002088  0.011274
39  0  -0.025718  0.999589  2.498972  0.000071  -0.003415  0.001228  -0.002819  0.003175  -0.002031  0.005377  -0.001249  0.002323
40  0  -0.018107  0.999718  2.499294  0.000205  0.005612  0.001326  0.001888  -0.001061  -0.005509  -0.000177  -0.007185  -0.009208
41  0  -0.048380  0.999583  2.498956  0.000246  -0.010295  0.006584  -0.001489  0.002164  0.002215  0.003562  -0.003520  -0.007760
42  0  -0.045948  0.999326  2.498316  0.000234  -0.004075  0.002021  0.004211  -0.010439  0.003903  -0.005086  0.006687  -0.000685
43  0  0.014489  0.999249  2.498123  0.000199  0.004972  0.002315  -0.000051  0.002666  -0.007449  -0.005487  0.006260  -0.006094
44  0  0.030894  0.999400  2.498499  0.000297  0.005570  0.003161  -0.010950  0.004654  -0.006295  0.007926  -0.000496  -0.003468
45  0  -0.017446  0.999391  2.498477  0.000112  0.002563  -0.001927  0.006089  0.005321  -0.003135  0.003569  -0.003622  0.000397
46  0  0.046630  0.999191  2.497978  0.000284  0.001570  0.006829  -0.004407  0.006480  -0.006477  0.006134  0.008763  0.004191
47  0  0.073382  0.999375  2.498437  0.000117  -0.000819  0.000633  -0.004144  -0.004415  -0.001188  0.005134  -0.001581  -0.007028
48  0  0.029326  0.999314  2.498284  0.000835  -0.024394  0.003117  -0.009167  -0.010613  0.003212  -0.002830  -0.003443  -0.001920
49  0  -0.045515  0.999758  2.499395  0.000187  -0.012902  -0.002318  -0.002083  -0.000266  0.000687  -0.000868  0.001341  -0.002818
50  0  0.000609  0.999808  2.499520  0.000332  0.000644  -0.012937  0.007450  0.005001  -0.008465  -0.000922  0.003233  0.000642
51  0  0.017600  0.999708  2.499270  0.000211  -0.009179  0.000398  0.004481  -0.000084  0.001872  -0.009663  -0.002972  0.000775
52  0  0.032168  0.999674  2.499185  0.000142  -0.004963  -0.001947  -0.008110  0.002030  0.006105  0.000392  0.002262  0.001079
53  0  0.003066  0.999658  2.499144  0.000170  0.006269  0.006976  -0.003679  0.004447  -0.002608  0.003214  0.003551  -0.004356
54  0  0.019310  0.999582  2.498956  0.000614  0.011273  -0.002049  -0.011510  0.006694  -0.012739  0.004607  0.004747  -0.009968
55  0  0.045493  0.999283  2.498209  0.000050  0.003138  0.001068  0.002610  0.000404  -0.004767  0.002035  -0.000509  -0.002323
56  0  -0.066290  0.999335  2.498338  0.000306  -0.007582  -0.004207  0.003221  0.001415  -0.009281  -0.004152  -0.002745  -0.010380
57  0  0.005051  0.999418  2.498545  0.000125  -0.008294  0.002870  -0.001618  0.003586  -0.000774  0.003412  0.004100  0.001981
58  0  -0.073179  0.999735  2.499337  0.000174  0.006046  0.003364  -0.005080  -0.000915  -0.003972  0.007567  -0.003882  0.003398
59  0  -0.026702  0.999607  2.499018  0.000129  0.001829  -0.005159  -0.001826  -0.003289  -0.006905  -0.002039  0.005578  0.001249
60  0  0.017895  0.999540  2.498850  0.000196  -0.000376  -0.005094  -0.002740  0.003899  0.007618  0.002224  -0.005983  0.006953
61  0  0.053687  0.999531  2.498829  0.000285  -0.006975  -0.010866  0.004126  -0.005007  -0.003351  -0.002476  -0.006900  -0.003318
62  0  -0.002834  0.999381  2.498453  0.000364  0.009114  -0.002741  0.000912  -0.001626  0.014257  -0.002877  -0.007353  -0.002089
63  0  -0.049615  0.999318  2.498296  0.000189  -0.009270  0.000317  -0.001779  -0.005815  0.005059  -0.000403  0.002353  -0.005866
0  1  0.062819  0.999244  2.498110  0.000275  -0.011016  0.002662  0.008396  -0.004368  -0.004687  -0.003085  0.004687  -0.001972
1  1  0.008628  0.999608  2.499021  0.000446  -0.006150  0.011032  0.009239  -0.008552  0.009267  0.000984  -0.002704  0.005799
2  1  0.026400  0.999697  2.499242  0.000055  0.000627  0.000006  0.000264  0.000249  0.002225  -0.005574  0.004273  0.000105
3  1  -0.034797  0.999646  2.499115  0.000169  0.008327  -0.001987  0.005989  0.000097  -0.002500  0.000046  0.005253  0.005132
4  1  -0.007941  0.999679  2.499196  0.000268  -0.002740  -0.006108  0.008549  -0.001612  -0.005488  0.001832  0.001171  -0.010623
5  1  0.035812  0.999706  2.499264  0.000223  -0.001929  0.003259  -0.005242  -0.000532  -0.001270  -0.005537  -0.006076  0.010547
6  1  0.001035  0.999707  2.499267  0.000179  0.000953  -0.005998  0.000874  -0.003181  0.007937  -0.006838  0.004609  -0.000059
7  1  0.035234  0.999391  2.498477  0.000270  0.003372  0.006361  -0.009163  -0.003769  -0.000963  0.010747  -0.001812  -0.000546
8  1  0.055726  0.999457  2.498642  0.000141  -0.002740  0.000650  -0.004111  0.004837  0.005927  0.004928  0.000986  0.005653
9  1  0.026564  0.998762  2.496905  0.000282  -0.005362  -0.000582  0.007628  -0.007573  0.007606  -0.005776  -0.006604  0.001728
10  1  0.019482  0.999021  2.497553  0.000141  0.002318  -0.004408  0.003405  -0.002908  -0.007850  -0.004085  0.001590  -0.003918
11  1  0.029161  0.998903  2.497258  0.000217  0.007624  0.000421  0.000863  0.009451  -0.006225  -0.002945  -0.002459  0.003870
12  1  0.026820  0.999361  2.498403  0.000223  0.007587  0.001616  0.004610  -0.005041  -0.006406  -0.007183  -0.004699  0.001047
13  1  -0.024087  0.999573  2.498932  0.000345  -0.000308  -0.011353  -0.008644  0.001207  0.002675  -0.000673  0.005523  -0.010090
14  1  0.004982  0.999633  2.499084  0.000325  0.013954  0.000476  0.003093  -0.002860  -0.007819  -0.004370  0.005631  -0.000031
15  1  -0.068914  0.999553  2.498881  0.000094  0.006217  -0.001973  0.000237  -0.002179  -0.002236  -0.004753  0.001136  0.004236
16  1  0.001187  0.999170  2.497926  0.000214  0.003057  0.000490  0.000099  0.003117  -0.012116  0.005406  -0.004291  -0.000073
17  1  -0.040627  0.999162  2.497906  0.000231  0.005044  -0.003868  -0.003323  -0.009032  0.003411  -0.008350  -0.003581  0.001848
18  1  -0.015334  0.998893  2.497232  0.000194  -0.001247  0.003042  -0.002654  0.004397  -0.002672  -0.006517  -0.005253  -0.008938
19  1  -0.043214  0.999431  2.498578  0.000211  0.003183  -0.009502  -0.003626  -0.001074  0.007472  0.005516  0.003239  0.000058
20  1  -0.027276  0.999537  2.498842  0.000211  0.001235  0.006816  -0.001200  0.009253  -0.008004  -0.003199  0.000967  -0.000586
21  1  0.007507  0.999797  2.499493  0.000112  0.000247  0.007770  -0.001787  -0.001934  0.004652  0.001314  0.000218  0.004561
22  1  -0.002027  0.999793  2.499482  0.000225  -0.006303  -0.010434  -0.004237  0.001860  0.004647  -0.003593  0.004246  -0.001525
23  1  -0.023943  0.999886  2.499716  0.000490  0.009457  -0.004792  -0.009599  -0.002943  -0.002642  -0.010741  -0.000650  0.012426
24  1  -0.012205  0.999777  2.499443  0.000312  0.006931  0.002049  -0.011157  0.003668  0.005890  -0.005590  0.007212  -0.001994
25  1  0.034139  0.999711  2.499276  0.000283  -0.005643  0.004700  -0.002076  0.001220  -0.008100  -0.007113  -0.003119  -0.009886
26  1  -0.013860  0.999393  2.498482  0.000556  0.009418  -0.016202  0.004584  0.003453  0.010986  0.001207  -0.006710  -0.002111
27  1  -0.065369  0.999626  2.499064  0.000244  -0.008841  0.005131  -0.009737  -0.001131  -0.001593  0.001094  -0.006246  -0.000942
28  1  -0.034396  0.999504  2.498760  0.000089  -0.000436  -0.004670  -0.002140  -0.003651  -0.001215  0.006675  0.000948  -0.001486
