# Step 5000
# x y theta R psi_density
0 0 142.797 0.568806 2385.43
1 0 145.822 0.297311 356.533
2 0 189.346 0.0974146 1432.92
3 0 20.7798 0.486423 141.523
4 0 510.332 0.174673 4665.31
5 0 465.359 0.192546 5256.97
6 0 71.6894 0.388433 585.487
7 0 316.237 0.175337 1619.58
8 0 376.415 0.158242 3510.91
9 0 262.147 0.395257 1760.37
10 0 370.803 0.188531 5154.8
11 0 512.388 0.283318 7541.31
12 0 530.486 0.185006 7598.34
13 0 398.289 0.153775 7076.25
14 0 452.865 0.450263 10366.1
15 0 733.064 0.291142 21050.9
16 0 1261.08 0.52535 34255.2
17 0 1789.85 0.292796 51685.3
18 0 2326.87 0.628966 62946.8
19 0 2605.51 0.475716 66631.2
20 0 2831.07 0.614492 71510.6
21 0 3146.9 0.346297 78844.2
22 0 2767.49 0.209994 74704.2
23 0 2555.63 0.227736 72777.1
24 0 2861.49 0.215788 68570.9
25 0 2675.82 0.316027 73858.6
26 0 2934.33 0.40192 68912
27 0 3490.26 0.711904 84268.1
28 0 4385.4 0.515273 84717.4
29 0 5408.92 0.154791 107044
30 0 5674.9 0.312966 114626
31 0 5428.79 0.157957 121884
32 0 5070.88 0.424301 102274
33 0 4179.03 0.328031 72337.7
34 0 3514.72 0.0318566 74762.1
35 0 3520.64 0.376345 86996.1
36 0 4275.65 0.272378 111104
37 0 6788.09 0.195011 147824
38 0 9152.57 0.376821 178300
39 0 9546.04 0.408599 175446
40 0 9717.94 0.353141 190126
41 0 8816.58 0.452725 175704
42 0 9189.64 0.56438 166798
43 0 8543.47 0.468298 161384
44 0 7600.28 0.495111 135765
45 0 7269.96 0.205865 126577
46 0 6815.09 0.227392 103367
47 0 6271.29 0.326391 81120
48 0 5395.43 0.408892 70910.2
49 0 3850.97 0.508643 54224.2
50 0 2759.14 0.278752 37120.4
51 0 1785.45 0.250086 25421.7
52 0 1444.74 0.289793 23779.4
53 0 1250.61 0.362833 15702.2
54 0 873.361 0.473455 10132.5
55 0 463.843 0.504685 7366.11
56 0 368.074 0.512752 7794.73
57 0 330.336 0.533839 4903.82
58 0 247.678 0.321343 3504.25
59 0 261.802 0.291299 3488.64
60 0 229.816 0.421921 6495.67
61 0 163.709 0.35023 3709.2
62 0 281.579 0.154776 333.815
63 0 401.53 0.287296 3598.55
0 1 135.221 0.319253 606.796
1 1 444.567 0.170761 4073.7
2 1 565.937 0.152833 7345.08
3 1 22.4352 0.566925 47.6417
4 1 991.22 0.366906 10173.5
5 1 956.333 0.548891 14065.9
6 1 158.851 0.578488 3053.94
7 1 655.273 0.193591 3385.18
8 1 1245.34 0.296795 14190.9
9 1 926.899 0.770366 14737.5
10 1 772.595 0.148503 12970.2
11 1 1184.33 0.0889786 19954.4
12 1 1946.11 0.733949 33843.6
13 1 2291.21 0.386228 48553.9
14 1 2568.82 0.391674 52486
15 1 3141.59 0.675653 67191.3
16 1 3855.67 0.687467 81580.2
17 1 5180 0.53477 105170
18 1 5978.76 0.366815 120524
19 1 6688.24 0.473999 125430
20 1 6972.74 0.417406 137123
21 1 7535.86 0.218101 132455
22 1 7003.4 0.334458 118312
23 1 5505.29 0.232858 95517.5
24 1 4647.43 0.0968408 81807.5
25 1 3364.87 0.205591 58483.6
26 1 3054.63 0.273263 54605.8
27 1 3080.73 0.211676 44928.8
28 1 3517.55 0.476103 54616.1
29 1 3960.26 0.207351 68631.5
30 1 4753.43 0.201356 89186.7
31 1 5248.45 0.287082 93907.7
32 1 5285.48 0.0798838 103327
33 1 5119.57 0.120423 106007
34 1 6043.68 0.319856 125751
35 1 7557 0.0148551 159550
36 1 9620.13 0.25207 186584
37 1 12277.5 0.30252 220294
38 1 13808.2 0.285622 230386
39 1 12925.2 0.435935 218230
40 1 12928.1 0.431956 208480
41 1 11825.5 0.204258 188691
42 1 11535.4 0.342247 183949
43 1 10401.7 0.387609 162323
44 1 9248.3 0.189387 138018
45 1 7550.04 0.400482 111912
