# Step 0
# x y theta R psi_density
0 0 2.35571 0.207662 0
1 0 5.97014 0.36192 0
2 0 4.60006 0.0662101 0
3 0 3.7627 0.109009 0
4 0 0.978402 0.347751 0
5 0 0.975837 0.511935 0
6 0 0.366012 0.372245 0
7 0 5.44369 0.16805 0
8 0 3.77655 0.0966398 0
9 0 4.45007 0.268035 0
10 0 0.123451 0.563101 0
11 0 6.09161 0.297195 0
12 0 5.2335 0.353448 0
13 0 1.33271 0.3891 0
14 0 1.14456 0.415667 0
15 0 1.15164 0.103911 0
16 0 1.91203 0.235689 0
17 0 3.2964 0.0869126 0
18 0 2.71304 0.262933 0
19 0 1.83121 0.159429 0
20 0 3.84485 0.0763283 0
21 0 0.873226 0.451527 0
22 0 1.83804 0.495441 0
23 0 2.30427 0.514853 0
24 0 2.86691 0.247707 0
25 0 4.93429 0.262787 0
26 0 1.2546 0.32065 0
27 0 3.23119 0.155312 0
28 0 3.72351 0.384187 0
29 0 0.292413 0.182794 0
30 0 3.81496 0.367387 0
31 0 1.07497 0.375311 0
32 0 0.410434 0.27967 0
33 0 5.96649 0.363484 0
34 0 6.06659 0.107722 0
35 0 5.08068 0.224317 0
36 0 1.91126 0.311166 0
37 0 0.612581 0.179529 0
38 0 4.29867 0.284762 0
39 0 2.7676 0.198838 0
40 0 0.769787 0.565635 0
41 0 3.11234 0.0590195 0
42 0 0.216004 0.097571 0
43 0 5.71752 0.438698 0
44 0 1.62519 0.0455388 0
45 0 4.16147 0.181148 0
46 0 1.96623 0.815352 0
47 0 3.27047 0.648366 0
48 0 3.43679 0.436762 0
49 0 1.16211 0.399075 0
50 0 6.09412 0.18202 0
51 0 4.87206 0.20513 0
52 0 5.90399 0.153978 0
53 0 5.62275 0.283148 0
54 0 3.75669 0.0875387 0
55 0 5.79434 0.253366 0
56 0 0.553013 0.801126 0
57 0 1.2239 0.874227 0
58 0 0.28393 0.301769 0
59 0 2.0465 0.193235 0
60 0 2.44507 0.405502 0
61 0 1.70607 0.235985 0
62 0 5.20901 0.570784 0
63 0 2.24186 0.179788 0
64 0 1.77077 0.552402 0
65 0 3.41088 0.391463 0
66 0 0.885527 0.362801 0
67 0 5.04297 0.334816 0
68 0 0.464235 0.372917 0
69 0 6.19621 0.494099 0
70 0 4.84968 0.278618 0
71 0 1.24967 0.209986 0
72 0 0.0377862 0.476575 0
73 0 5.12281 0.526616 0
74 0 4.43913 0.286228 0
75 0 4.5801 0.431883 0
76 0 4.84844 0.304203 0
77 0 0.46651 0.407912 0
78 0 2.24363 0.904373 0
79 0 0.726567 0.542269 0
80 0 5.42654 0.381729 0
81 0 3.91669 0.0520802 0
82 0 2.07895 0.224367 0
83 0 0.40493 0.690293 0
84 0 1.95614 0.282601 0
85 0 2.04495 0.209109 0
86 0 4.58363 0.264978 0
87 0 4.00395 0.311025 0
88 0 5.57263 0.615549 0
89 0 2.96569 0.375802 0
90 0 0.755717 0.499592 0
91 0 4.48142 0.0843553 0
92 0 4.77884 0.306852 0
93 0 3.53107 0.583869 0
94 0 4.84026 0.638168 0
95 0 3.10729 0.560911 0
96 0 3.28519 0.0467459 0
97 0 2.68368 0.297961 0
98 0 0.16054 0.110678 0
99 0 0.673656 0.364966 0
100 0 0.194209 0.516282 0
101 0 4.00199 0.338116 0
102 0 1.98031 0.632345 0
103 0 3.19594 0.0337775 0
104 0 5.70061 0.42503 0
105 0 1.56977 0.406883 0
106 0 2.58137 0.366224 0
107 0 4.74292 0.430177 0
108 0 1.43798 0.0568468 0
109 0 0.48645 0.559844 0
110 0 1.81622 0.506631 0
111 0 1.01184 0.473627 0
112 0 5.84665 0.517305 0
113 0 5.08226 0.512731 0
114 0 3.98508 0.68805 0
115 0 5.47545 0.472884 0
116 0 5.04969 0.280246 0
117 0 1.16883 0.400886 0
118 0 5.61005 0.193564 0
119 0 3.38899 0.301182 0
120 0 5.07442 0.199001 0
121 0 5.63041 0.154126 0
122 0 1.99568 0.327797 0
123 0 0.694382 0.435004 0
124 0 1.43338 0.367745 0
125 0 2.68346 0.213734 0
126 0 5.13684 0.476512 0
127 0 5.40672 0.629932 0
128 0 0.038018 0.564273 0
129 0 3.21001 0.151547 0
130 0 2.62278 0.105434 0
131 0 1.3966 0.114867 0
132 0 0.751822 0.0896557 0
133 0 2.11728 0.641817 0
134 0 5.92591 0.20969 0
135 0 2.02703 0.373175 0
136 0 3.25657 0.36124 0
137 0 4.41365 0.349374 0
138 0 2.28579 0.372025 0
139 0 6.10446 0.300276 0
140 0 6.04593 0.340624 0
141 0 1.58264 0.20761 0
142 0 3.12491 0.111685 0
143 0 1.88962 0.131595 0
144 0 1.78611 0.461194 0
145 0 0.230541 0.0817425 0
146 0 3.8338 0.305355 0
147 0 3.15846 0.0607366 0
148 0 0.325191 0.324782 0
149 0 1.74737 0.31721 0
150 0 5.7101 0.312766 0
151 0 1.50194 0.392584 0
152 0 0.908535 0.341825 0
153 0 3.07298 0.307342 0
154 0 6.19667 0.375561 0
155 0 1.51733 0.390693 0
156 0 4.22766 0.539933 0
157 0 4.78564 0.350852 0
158 0 1.49575 0.549468 0
159 0 4.57232 0.391717 0
160 0 2.31277 0.231912 0
161 0 3.9731 0.0780419 0
162 0 3.98176 0.36935 0
163 0 3.37202 0.510128 0
164 0 0.560217 0.796655 0
165 0 5.24979 0.468111 0
166 0 2.01606 0.273932 0
167 0 1.172 0.0322654 0
168 0 0.256915 0.422423 0
169 0 3.71165 0.21688 0
170 0 4.25353 0.321428 0
171 0 0.106601 0.480769 0
172 0 3.21454 0.367626 0
173 0 1.42769 0.495072 0
174 0 4.05031 0.431503 0
175 0 1.09838 0.464696 0
176 0 4.3392 0.199379 0
177 0 2.43263 0.407424 0
178 0 5.88556 0.100202 0
179 0 0.861463 0.306495 0
180 0 2.14168 0.276857 0
181 0 0.709774 0.337486 0
182 0 5.81364 0.534943 0
183 0 5.51759 0.530385 0
184 0 1.6165 0.38756 0
185 0 4.14612 0.047216 0
186 0 5.13105 0.475188 0
187 0 3.48842 0.231646 0
188 0 3.32792 0.193069 0
189 0 1.51625 0.447861 0
190 0 0.584525 0.446726 0
191 0 5.64085 0.341958 0
192 0 5.65959 0.141714 0
193 0 3.97687 0.112188 0
194 0 2.13303 0.336507 0
195 0 2.20131 0.678551 0
196 0 4.55851 0.393479 0
197 0 5.63669 0.217189 0
198 0 5.57469 0.373759 0
199 0 4.9041 0.44729 0
200 0 4.03636 0.182055 0
201 0 0.528291 0.242926 0
202 0 1.01305 0.574432 0
203 0 5.64947 0.400326 0
204 0 3.81176 0.230678 0
205 0 0.0558525 0.184702 0
206 0 0.635397 0.395883 0
207 0 4.17591 0.617473 0
208 0 0.0295452 0.30929 0
209 0 1.00849 0.325969 0
210 0 3.44548 0.275132 0
211 0 4.34636 0.204899 0
212 0 4.09938 0.393058 0
213 0 1.40554 0.308251 0
214 0 4.47582 0.35168 0
215 0 1.48951 0.13502 0
216 0 2.04061 0.391515 0
217 0 4.6922 0.220877 0
218 0 4.08651 0.458914 0
219 0 5.33522 0.108872 0
220 0 4.13017 0.190831 0
221 0 3.56867 0.252867 0
222 0 0.59171 0.486851 0
223 0 2.3096 0.111121 0
224 0 1.66833 0.316217 0
225 0 1.5331 0.301259 0
226 0 6.11089 0.453997 0
227 0 2.47474 0.566967 0
228 0 5.60016 0.555722 0
229 0 3.96893 0.441136 0
230 0 4.99188 0.189343 0
231 0 3.1615 0.314799 0
232 0 3.62632 0.121923 0
233 0 3.09697 0.192699 0
234 0 1.22564 0.260839 0
235 0 4.53916 0.104981 0
236 0 1.76202 0.305654 0
237 0 0.152954 0.0539618 0
238 0 4.05564 0.292294 0
239 0 1.11258 0.196452 0
240 0 5.91075 0.268662 0
241 0 5.99105 0.548411 0
242 0 5.74871 0.279305 0
243 0 2.32592 0.398311 0
244 0 0.09878 0.233483 0
245 0 5.83449 0.365341 0
246 0 2.68985 0.0799246 0
247 0 6.07419 0.0450214 0
248 0 6.05351 0.257475 0
249 0 5.35929 0.0871868 0
250 0 1.85127 0.215444 0
251 0 2.41884 0.229556 0
252 0 5.34689 0.19437 0
253 0 1.99023 0.249422 0
254 0 1.06901 0.54022 0
255 0 3.4966 0.281998 0
0 1 5.88033 0.285872 0
1 1 4.37826 0.440764 0
2 1 3.58549 0.50411 0
3 1 0.609861 0.130954 0
4 1 3.8654 0.394483 0
5 1 6.22288 0.395613 0
6 1 0.875769 0.514616 0
7 1 3.25768 0.374304 0
8 1 5.508 0.434102 0
9 1 4.65498 0.393451 0
10 1 4.38266 0.495274 0
11 1 4.41961 0.580271 0
12 1 2.2589 0.250032 0
13 1 1.84457 0.104363 0
14 1 5.0863 0.57493 0
15 1 5.09265 0.409908 0
16 1 5.45053 0.243597 0
17 1 5.73585 0.137539 0
18 1 3.21307 0.126255 0
19 1 3.15292 0.157503 0
20 1 5.01411 0.114035 0
21 1 4.08438 0.273341 0
22 1 4.41017 0.134299 0
23 1 4.99886 0.22101 0
24 1 5.59255 0.0303735 0
25 1 2.12298 0.135487 0
26 1 2.35742 0.418632 0
27 1 0.593406 0.342577 0
28 1 3.63457 0.226244 0
29 1 0.22482 0.306199 0
30 1 2.92488 0.0572094 0
31 1 3.40842 0.261757 0
32 1 1.80283 0.180103 0
33 1 3.71317 0.435271 0
34 1 0.18915 0.300333 0
35 1 0.231705 0.266276 0
36 1 5.16776 0.0548592 0
37 1 2.26448 0.129324 0
38 1 0.799044 0.338387 0
39 1 3.28352 0.222696 0
40 1 4.83358 0.411437 0
41 1 1.35769 0.298757 0
42 1 3.91378 0.137529 0
43 1 0.536286 0.33891 0
44 1 0.325406 0.214786 0
45 1 3.33729 0.159689 0
46 1 3.39933 0.512101 0
47 1 4.0029 0.695578 0
48 1 4.55917 0.283509 0
49 1 6.13252 0.0210674 0
50 1 3.24208 0.573251 0
51 1 2.0261 0.324464 0
52 1 4.99723 0.113329 0
53 1 1.70419 0.290638 0
54 1 2.75875 0.1228 0
55 1 0.492902 0.0581068 0
56 1 0.16032 0.467636 0
57 1 6.04998 0.392134 0
58 1 5.25304 0.0870965 0
59 1 4.37032 0.300659 0
60 1 2.56888 0.361567 0
61 1 1.09216 0.253813 0
62 1 0.982407 0.183358 0
63 1 1.56997 0.231697 0
64 1 3.44839 0.203477 0
65 1 4.48726 0.210665 0
66 1 4.14829 0.0746618 0
67 1 1.75873 0.0653303 0
68 1 6.00094 0.249295 0
69 1 4.63809 0.188502 0
70 1 3.48417 0.121806 0
71 1 3.84168 0.315694 0
72 1 2.63389 0.194972 0
73 1 1.55677 0.0199717 0
74 1 2.23482 0.229779 0
75 1 4.76389 0.298693 0
76 1 0.0901995 0.459097 0
77 1 0.72765 0.64563 0
78 1 0.291386 0.613059 0
79 1 0.255963 0.371454 0
80 1 5.37614 0.0988262 0
81 1 4.42026 0.0357045 0
82 1 2.97776 0.094781 0
83 1 0.618235 0.353702 0
84 1 3.0857 0.413893 0
85 1 2.9715 0.369078 0
86 1 1.09071 0.27865 0
87 1 2.72423 0.230788 0
88 1 2.5033 0.175079 0
89 1 3.86761 0.351467 0
90 1 3.9904 0.260731 0
91 1 0.284686 0.181292 0
92 1 2.35415 0.166977 0
93 1 3.93093 0.30193 0
94 1 3.1623 0.418461 0
95 1 5.37667 0.59925 0
96 1 4.13496 0.471985 0
97 1 1.02455 0.143323 0
98 1 0.443006 0.213226 0
99 1 4.0423 0.652421 0
100 1 0.164322 0.3011 0
101 1 3.6834 0.354602 0
102 1 5.90581 0.257306 0
103 1 3.61762 0.266193 0
104 1 2.43908 0.00638023 0
105 1 4.03874 0.299572 0
106 1 2.88242 0.333817 0
107 1 3.42958 0.0746095 0
108 1 5.91764 0.214307 0
109 1 2.42025 0.645203 0
110 1 6.04464 0.521762 0
111 1 5.69027 0.27996 0
112 1 1.22822 0.152488 0
113 1 0.435267 0.0891618 0
114 1 0.630598 0.24912 0
115 1 0.111056 0.333655 0
116 1 0.590224 0.402269 0
117 1 4.29534 0.500673 0
118 1 0.44704 0.0681224 0
119 1 2.00463 0.504886 0
120 1 5.30728 0.209808 0
121 1 0.143303 0.261089 0
122 1 5.11928 0.365545 0
123 1 1.76959 0.384712 0
124 1 0.747831 0.502067 0
125 1 4.3749 0.329257 0
126 1 3.95258 0.038321 0
127 1 5.51226 0.262201 0
128 1 4.62041 0.210519 0
129 1 5.04993 0.309914 0
130 1 1.77309 0.551982 0
131 1 1.11693 0.586855 0
132 1 4.71916 0.508062 0
133 1 5.07278 0.355134 0
134 1 6.22253 0.18879 0
135 1 2.59403 0.226058 0
136 1 2.34237 0.548542 0
137 1 4.87488 0.39717 0
138 1 2.14308 0.185869 0
139 1 5.84867 0.0569031 0
140 1 5.39223 0.144199 0
141 1 2.69882 0.301623 0
142 1 4.7153 0.360373 0
143 1 4.7391 0.4795 0
144 1 0.649881 0.404433 0
145 1 5.67189 0.335252 0
146 1 3.17745 0.3612 0
147 1 5.18777 0.547504 0
148 1 2.00993 0.0627948 0
149 1 5.62831 0.298402 0
150 1 2.44114 0.380777 0
151 1 0.0717388 0.355645 0
152 1 5.69651 0.714122 0
153 1 0.575345 0.534754 0
154 1 2.00181 0.610245 0
155 1 5.9746 0.495887 0
156 1 5.97428 0.14779 0
157 1 3.60237 0.13015 0
158 1 3.96827 0.100052 0
159 1 2.81461 0.224499 0
160 1 1.8452 0.277966 0
161 1 2.06913 0.464499 0
162 1 4.2219 0.492087 0
163 1 4.72806 0.151618 0
164 1 4.97568 0.263615 0
165 1 4.96451 0.40041 0
166 1 0.573222 0.0800075 0
167 1 3.10587 0.610773 0
168 1 0.362478 0.0637813 0
169 1 3.45152 0.0899948 0
170 1 2.77643 0.174048 0
171 1 5.57671 0.135571 0
172 1 2.2046 0.159928 0
173 1 0.738936 0.302204 0
174 1 0.900758 0.193848 0
175 1 4.78329 0.247608 0
176 1 3.88453 0.155042 0
177 1 0.636044 0.00205964 0
178 1 0.531252 0.36979 0
179 1 4.40299 0.435967 0
180 1 0.459468 0.249202 0
181 1 5.16757 0.327824 0
182 1 4.44116 0.463071 0
183 1 0.510418 0.241034 0
184 1 0.532124 0.0397963 0
185 1 6.20154 0.232025 0
186 1 2.35505 0.285935 0
187 1 2.3333 0.420608 0
188 1 5.10393 0.35777 0
189 1 5.95442 0.189498 0
190 1 6.19775 0.506391 0
191 1 4.73811 0.534385 0
192 1 2.36187 0.576669 0
193 1 0.524768 0.0892882 0
194 1 4.88178 0.167183 0
195 1 3.50674 0.295339 0
196 1 2.66784 0.316856 0
197 1 5.69295 0.279693 0
198 1 0.693229 0.654036 0
199 1 3.09859 0.387741 0
200 1 0.0704304 0.538318 0
201 1 2.94168 0.315739 0
202 1 0.356615 0.364165 0
203 1 0.744668 0.379369 0
204 1 0.733526 0.563048 0
205 1 4.08403 0.495299 0
206 1 4.6897 0.306326 0
207 1 3.66954 0.539033 0
208 1 6.04522 0.0881807 0
209 1 2.35018 0.529326 0
210 1 1.7938 0.060022 0
211 1 5.45485 0.285227 0
212 1 1.40335 0.505365 0
213 1 6.05263 0.105259 0
214 1 0.0764574 0.431639 0
215 1 6.09713 0.408566 0
216 1 0.27111 0.32763 0
217 1 5.60028 0.232693 0
218 1 3.32026 0.504622 0
219 1 6.23593 0.38914 0
220 1 0.459377 0.59612 0
221 1 3.48079 0.138358 0
222 1 6.08901 0.450548 0
223 1 3.28343 0.262769 0
224 1 3.95194 0.229448 0
225 1 4.36811 0.312049 0
226 1 2.85773 0.253381 0
227 1 3.93957 0.446729 0
228 1 3.66967 0.322046 0
229 1 5.65961 0.313322 0
230 1 0.285467 0.315545 0
231 1 1.76736 0.200749 0
232 1 5.97017 0.300672 0
233 1 5.59389 0.260855 0
234 1 2.86459 0.283564 0
235 1 3.89248 0.360233 0
236 1 1.74312 0.15908 0
237 1 1.18286 0.12122 0
238 1 2.91092 0.276818 0
239 1 2.22046 0.119909 0
240 1 3.66683 0.333201 0
241 1 0.48578 0.310375 0
242 1 6.12372 0.44458 0
243 1 6.19459 0.328001 0
244 1 4.38622 0.223549 0
245 1 3.36952 0.194448 0
246 1 1.94557 0.397693 0
247 1 5.11524 0.254969 0
248 1 4.30658 0.493017 0
249 1 1.01973 0.289296 0
250 1 5.72457 0.213871 0
251 1 5.17174 0.290285 0
252 1 5.96474 0.293151 0
253 1 4.56147 0.19589 0
254 1 3.85452 0.289792 0
255 1 2.62871 0.255494 0
0 2 5.85938 0.400854 0
1 2 5.44271 0.321266 0
2 2 0.279443 0.485409 0
3 2 0.16643 0.219845 0
4 2 2.36378 0.365183 0
5 2 5.09487 0.213151 0
6 2 6.20554 0.240096 0
7 2 0.943413 0.193479 0
8 2 3.73306 0.0625955 0
9 2 2.39677 0.546053 0
10 2 6.08726 0.761033 0
11 2 5.28705 0.618341 0
12 2 5.26149 0.502572 0
13 2 2.94418 0.276261 0
14 2 2.60508 0.35953 0
15 2 1.71508 0.206284 0
16 2 0.351132 0.398835 0
17 2 5.43401 0.379061 0
18 2 5.10643 0.230179 0
19 2 6.27983 0.424558 0
20 2 6.2608 0.328379 0
21 2 3.49403 0.398381 0
22 2 4.83171 0.42802 0
23 2 5.93193 0.511196 0
24 2 5.33616 0.214053 0
25 2 1.55561 0.201035 0
26 2 2.82672 0.357724 0
27 2 0.809183 0.232009 0
28 2 5.99323 0.235111 0
29 2 3.80909 0.13637 0
30 2 1.44004 0.508236 0
31 2 4.21887 0.34135 0
32 2 3.88177 0.252147 0
33 2 2.25057 0.0807833 0
34 2 0.712977 0.14852 0
35 2 4.21951 0.0871949 0
36 2 3.27256 0.400976 0
37 2 4.85127 0.206906 0
38 2 3.27098 0.344622 0
39 2 5.35274 0.235515 0
40 2 3.46953 0.108766 0
41 2 3.52475 0.111418 0
42 2 5.51016 0.141251 0
43 2 2.53205 0.588214 0
44 2 0.839743 0.399854 0
45 2 0.179159 0.2698 0
46 2 4.7429 0.439752 0
47 2 3.89995 0.777177 0
48 2 4.42154 0.423997 0
49 2 1.33919 0.145655 0
50 2 0.859564 0.440147 0
51 2 0.094439 0.210387 0
52 2 2.20203 0.0997765 0
53 2 3.70406 0.27807 0
54 2 2.46332 0.486644 0
55 2 2.74588 0.329175 0
56 2 5.68328 0.192887 0
57 2 2.18765 0.27571 0
58 2 3.23074 0.144818 0
59 2 4.92015 0.459073 0
60 2 2.49435 0.377673 0
61 2 3.90585 0.316857 0
62 2 5.42097 0.416037 0
63 2 5.97118 0.460666 0
64 2 0.923914 0.152585 0
65 2 5.82193 0.258019 0
66 2 3.09131 0.235703 0
67 2 1.62514 0.343059 0
68 2 2.88202 0.204945 0
69 2 6.15563 0.38753 0
70 2 3.09721 0.481328 0
71 2 2.07169 0.667311 0
72 2 3.97685 0.316972 0
73 2 1.50915 0.267357 0
74 2 0.478681 0.319268 0
75 2 0.808236 0.592042 0
76 2 0.803371 0.556043 0
77 2 0.952656 0.794574 0
78 2 0.871018 0.532323 0
79 2 4.0289 0.605985 0
80 2 1.14295 0.270788 0
81 2 2.17311 0.186469 0
82 2 5.6336 0.245154 0
83 2 2.97833 0.0529661 0
84 2 4.1939 0.171041 0
85 2 1.08475 0.315477 0
