# Time series data
# step mean_R std_R mean_psi_density max_psi_density
0 0.315021 0.158577 1.52588e-05 0.0127324
1 0.315631 0.158836 1.52588e-05 0.0127324
2 0.316242 0.159099 1.52588e-05 0.0127324
3 0.316862 0.159357 1.52588e-05 0.0127324
4 0.317482 0.159618 1.52588e-05 0.0127324
5 0.318108 0.159882 1.52588e-05 0.0127324
6 0.318736 0.160151 1.52588e-05 0.0127324
7 0.319369 0.160414 1.52588e-05 0.0127324
8 0.320001 0.160688 1.52588e-05 0.0127324
9 0.320642 0.160957 1.52588e-05 0.0127225
10 0.321286 0.161225 1.52588e-05 0.0127225
11 0.321931 0.1615 1.52588e-05 0.0127225
12 0.322585 0.161768 1.52588e-05 0.0127225
13 0.323235 0.162052 1.52588e-05 0.0127225
14 0.323895 0.162319 1.52588e-05 0.0127225
15 0.324556 0.162599 1.52588e-05 0.0127225
16 0.325221 0.162878 1.52588e-05 0.0127225
17 0.325889 0.163157 1.52588e-05 0.0127225
18 0.326565 0.163431 1.52588e-05 0.0127225
19 0.32724 0.163714 1.52588e-05 0.0126927
20 0.32792 0.163997 1.52588e-05 0.0126927
21 0.328605 0.164275 1.52588e-05 0.0126927
22 0.329291 0.164562 1.52588e-05 0.0126927
23 0.329981 0.164847 1.52588e-05 0.0126927
24 0.330677 0.165131 1.52588e-05 0.0126927
25 0.331373 0.16542 1.52588e-05 0.0126927
26 0.332073 0.165708 1.52588e-05 0.0126927
27 0.33278 0.165998 1.52588e-05 0.0126927
28 0.333489 0.16628 1.52588e-05 0.0126927
29 0.334198 0.166581 1.52588e-05 0.0126425
30 0.334915 0.166864 1.52588e-05 0.0126425
31 0.335632 0.167162 1.52588e-05 0.0126425
32 0.336356 0.167453 1.52588e-05 0.0126425
33 0.337078 0.167751 1.52588e-05 0.0126425
34 0.337809 0.168042 1.52588e-05 0.0126425
35 0.338541 0.168336 1.52588e-05 0.0126425
36 0.339275 0.168637 1.52588e-05 0.0126425
37 0.340016 0.168929 1.52588e-05 0.0126425
38 0.340757 0.169229 1.52588e-05 0.0126425
39 0.341502 0.169531 1.52588e-05 0.0125718
40 0.342251 0.169829 1.52588e-05 0.0125718
41 0.343 0.170131 1.52588e-05 0.0125718
42 0.343755 0.170432 1.52588e-05 0.0125718
43 0.344516 0.17073 1.52588e-05 0.0125718
44 0.345278 0.171028 1.52588e-05 0.0125718
45 0.346041 0.171339 1.52588e-05 0.0125718
46 0.346809 0.171639 1.52588e-05 0.0125718
47 0.347577 0.171949 1.52588e-05 0.0125718
48 0.34835 0.172261 1.52588e-05 0.0125718
49 0.349132 0.172553 1.52588e-05 0.0125762
50 0.349907 0.172866 1.52588e-05 0.0125762
51 0.350693 0.173172 1.52588e-05 0.0125762
52 0.351475 0.173485 1.52588e-05 0.0125762
53 0.352263 0.173793 1.52588e-05 0.0125762
54 0.353058 0.174097 1.52588e-05 0.0125762
55 0.35385 0.174408 1.52588e-05 0.0125762
56 0.354649 0.174715 1.52588e-05 0.0125762
57 0.355449 0.175025 1.52588e-05 0.0125762
58 0.356252 0.175339 1.52588e-05 0.0125762
59 0.357059 0.175648 1.52588e-05 0.01264
60 0.357867 0.175959 1.52588e-05 0.01264
61 0.358676 0.176273 1.52588e-05 0.01264
62 0.359492 0.176586 1.52588e-05 0.01264
63 0.360308 0.176897 1.52588e-05 0.01264
64 0.361128 0.177213 1.52588e-05 0.01264
65 0.361954 0.177513 1.52588e-05 0.01264
66 0.362777 0.177835 1.52588e-05 0.01264
67 0.363605 0.178145 1.52588e-05 0.01264
68 0.364433 0.178463 1.52588e-05 0.01264
69 0.365267 0.17878 1.52588e-05 0.0127128
70 0.366104 0.179091 1.52588e-05 0.0127128
71 0.366936 0.179413 1.52588e-05 0.0127128
72 0.367778 0.179729 1.52588e-05 0.0127128
73 0.368621 0.180039 1.52588e-05 0.0127128
74 0.369466 0.180356 1.52588e-05 0.0127128
75 0.370311 0.180679 1.52588e-05 0.0127128
76 0.371163 0.180986 1.52588e-05 0.0127128
77 0.372016 0.181302 1.52588e-05 0.0127128
78 0.372869 0.181618 1.52588e-05 0.0127128
79 0.373723 0.181943 1.52588e-05 0.0127981
80 0.374584 0.182254 1.52588e-05 0.0127981
81 0.375445 0.182567 1.52588e-05 0.0127981
82 0.376307 0.182888 1.52588e-05 0.0127981
83 0.377173 0.1832 1.52588e-05 0.0127981
84 0.378039 0.183521 1.52588e-05 0.0127981
85 0.378908 0.183838 1.52588e-05 0.0127981
86 0.37978 0.184152 1.52588e-05 0.0127981
87 0.380653 0.184473 1.52588e-05 0.0127981
88 0.381528 0.184791 1.52588e-05 0.0127981
89 0.382404 0.185109 1.52588e-05 0.012899
90 0.383282 0.18543 1.52588e-05 0.012899
91 0.384164 0.185741 1.52588e-05 0.012899
92 0.385047 0.186059 1.52588e-05 0.012899
93 0.385933 0.186374 1.52588e-05 0.012899
94 0.386821 0.186688 1.52588e-05 0.012899
95 0.387707 0.187011 1.52588e-05 0.012899
96 0.388595 0.187331 1.52588e-05 0.012899
97 0.389486 0.187644 1.52588e-05 0.012899
98 0.39038 0.187962 1.52588e-05 0.012899
99 0.391276 0.188276 1.52588e-05 0.0130173
100 0.392174 0.188592 1.52588e-05 0.0130173
101 0.393068 0.188914 1.52588e-05 0.0130173
102 0.393971 0.189222 1.52588e-05 0.0130173
103 0.394869 0.189542 1.52588e-05 0.0130173
104 0.395773 0.189853 1.52588e-05 0.0130173
105 0.396676 0.19017 1.52588e-05 0.0130173
106 0.397583 0.190482 1.52588e-05 0.0130173
107 0.39849 0.190799 1.52588e-05 0.0130173
108 0.399401 0.191106 1.52588e-05 0.0130173
109 0.400306 0.191426 1.52588e-05 0.0131536
110 0.401215 0.191746 1.52588e-05 0.0131536
111 0.402131 0.19205 1.52588e-05 0.0131536
112 0.403044 0.192361 1.52588e-05 0.0131536
113 0.40396 0.192678 1.52588e-05 0.0131536
114 0.404873 0.192989 1.52588e-05 0.0131536
115 0.405787 0.19331 1.52588e-05 0.0131536
116 0.406708 0.193614 1.52588e-05 0.0131536
117 0.407628 0.193922 1.52588e-05 0.0131536
118 0.408551 0.194227 1.52588e-05 0.0131536
119 0.409473 0.194537 1.52588e-05 0.0133078
120 0.410392 0.194849 1.52588e-05 0.0133078
121 0.411317 0.195156 1.52588e-05 0.0133078
122 0.41224 0.195468 1.52588e-05 0.0133078
123 0.413168 0.195768 1.52588e-05 0.0133078
124 0.414095 0.196076 1.52588e-05 0.0133078
125 0.415022 0.196382 1.52588e-05 0.0133078
126 0.415947 0.196694 1.52588e-05 0.0133078
127 0.416877 0.196999 1.52588e-05 0.0133078
128 0.417808 0.197298 1.52588e-05 0.0133078
129 0.418739 0.197603 1.52588e-05 0.0134781
130 0.41967 0.197905 1.52588e-05 0.0134781
131 0.420606 0.198198 1.52588e-05 0.0134781
132 0.421537 0.198501 1.52588e-05 0.0134781
133 0.422469 0.198805 1.52588e-05 0.0134781
134 0.423407 0.199097 1.52588e-05 0.0134781
135 0.424339 0.199402 1.52588e-05 0.0134781
136 0.425277 0.199691 1.52588e-05 0.0134781
137 0.426213 0.199989 1.52588e-05 0.0134781
138 0.42715 0.200291 1.52588e-05 0.0134781
139 0.428086 0.200585 1.52588e-05 0.013662
140 0.429026 0.200874 1.52588e-05 0.013662
141 0.429965 0.201163 1.52588e-05 0.013662
142 0.430905 0.201456 1.52588e-05 0.013662
143 0.431842 0.201752 1.52588e-05 0.013662
144 0.432785 0.202032 1.52588e-05 0.013662
145 0.433723 0.202327 1.52588e-05 0.013662
146 0.434664 0.202616 1.52588e-05 0.013662
147 0.435607 0.202894 1.52588e-05 0.013662
148 0.436546 0.203187 1.52588e-05 0.013662
149 0.437489 0.203471 1.52588e-05 0.0138557
150 0.43843 0.203753 1.52588e-05 0.0138557
151 0.439374 0.204035 1.52588e-05 0.0138557
152 0.440315 0.204319 1.52588e-05 0.0138557
153 0.44126 0.204596 1.52588e-05 0.0138557
154 0.442202 0.204881 1.52588e-05 0.0138557
155 0.443147 0.205151 1.52588e-05 0.0138557
156 0.444089 0.205431 1.52588e-05 0.0138557
157 0.445034 0.205705 1.52588e-05 0.0138557
158 0.445976 0.205983 1.52588e-05 0.0138557
159 0.446917 0.206261 1.52588e-05 0.0140545
160 0.447861 0.206536 1.52588e-05 0.0140545
161 0.448806 0.206803 1.52588e-05 0.0140545
162 0.449749 0.207074 1.52588e-05 0.0140545
163 0.450695 0.207336 1.52588e-05 0.0140545
164 0.451637 0.207609 1.52588e-05 0.0140545
165 0.452581 0.207875 1.52588e-05 0.0140545
166 0.453528 0.208132 1.52588e-05 0.0140545
167 0.45447 0.208395 1.52588e-05 0.0140545
168 0.455409 0.208669 1.52588e-05 0.0140545
169 0.456356 0.208924 1.52588e-05 0.0142529
170 0.457298 0.209186 1.52588e-05 0.0142529
171 0.458239 0.209447 1.52588e-05 0.0142529
172 0.459184 0.209699 1.52588e-05 0.0142529
173 0.460126 0.209958 1.52588e-05 0.0142529
174 0.461071 0.210205 1.52588e-05 0.0142529
175 0.462011 0.210467 1.52588e-05 0.0142529
176 0.46295 0.210717 1.52588e-05 0.0142529
177 0.463891 0.210975 1.52588e-05 0.0142529
178 0.464833 0.211221 1.52588e-05 0.0142529
179 0.465775 0.211464 1.52588e-05 0.0144448
180 0.466712 0.211718 1.52588e-05 0.0144448
181 0.467655 0.211963 1.52588e-05 0.0144448
182 0.468593 0.212212 1.52588e-05 0.0144448
183 0.46953 0.212454 1.52588e-05 0.0144448
184 0.470467 0.212699 1.52588e-05 0.0144448
185 0.471409 0.212929 1.52588e-05 0.0144448
186 0.472344 0.213183 1.52588e-05 0.0144448
187 0.473282 0.213415 1.52588e-05 0.0144448
188 0.474216 0.213653 1.52588e-05 0.0144448
189 0.475149 0.213899 1.52588e-05 0.0146234
190 0.476086 0.214128 1.52588e-05 0.0146234
191 0.477019 0.214364 1.52588e-05 0.0146234
192 0.477958 0.214583 1.52588e-05 0.0146234
193 0.478886 0.214827 1.52588e-05 0.0146234
194 0.479824 0.215044 1.52588e-05 0.0146234
195 0.480752 0.215283 1.52588e-05 0.0146234
196 0.481685 0.215505 1.52588e-05 0.0146234
197 0.482613 0.215732 1.52588e-05 0.0146234
198 0.483541 0.21596 1.52588e-05 0.0146234
199 0.484473 0.216176 1.52588e-05 0.0147821
200 0.485403 0.216399 1.52588e-05 0.0147821
201 0.486327 0.216622 1.52588e-05 0.0147821
202 0.487255 0.216841 1.52588e-05 0.0147821
203 0.488183 0.217054 1.52588e-05 0.0147821
204 0.489107 0.217274 1.52588e-05 0.0147821
205 0.490036 0.217478 1.52588e-05 0.0147821
206 0.490954 0.217708 1.52588e-05 0.0147821
207 0.491881 0.217907 1.52588e-05 0.0147821
208 0.492801 0.218124 1.52588e-05 0.0147821
209 0.493722 0.218332 1.52588e-05 0.0149138
210 0.49464 0.218541 1.52588e-05 0.0149138
211 0.495563 0.218742 1.52588e-05 0.0149138
212 0.496483 0.218944 1.52588e-05 0.0149138
213 0.4974 0.21915 1.52588e-05 0.0149138
214 0.498316 0.219355 1.52588e-05 0.0149138
215 0.499233 0.219552 1.52588e-05 0.0149138
216 0.500147 0.219751 1.52588e-05 0.0149138
217 0.501059 0.219956 1.52588e-05 0.0149138
218 0.501976 0.220137 1.52588e-05 0.0149138
219 0.502887 0.22034 1.52588e-05 0.0150121
220 0.5038 0.220526 1.52588e-05 0.0150121
221 0.504707 0.220729 1.52588e-05 0.0150121
222 0.505617 0.220911 1.52588e-05 0.0150121
223 0.506527 0.221105 1.52588e-05 0.0150121
224 0.507432 0.221296 1.52588e-05 0.0150121
225 0.50834 0.221474 1.52588e-05 0.0150121
226 0.509247 0.221655 1.52588e-05 0.0150121
227 0.510147 0.221848 1.52588e-05 0.0150121
228 0.511049 0.22203 1.52588e-05 0.0150121
229 0.511953 0.222204 1.52588e-05 0.0150706
230 0.512852 0.22239 1.52588e-05 0.0150706
231 0.513752 0.222565 1.52588e-05 0.0150706
232 0.51465 0.222746 1.52588e-05 0.0150706
233 0.515545 0.222919 1.52588e-05 0.0150706
234 0.516443 0.223093 1.52588e-05 0.0150706
235 0.517339 0.223264 1.52588e-05 0.0150706
236 0.518232 0.223436 1.52588e-05 0.0150706
237 0.519125 0.223608 1.52588e-05 0.0150706
238 0.520014 0.223782 1.52588e-05 0.0150706
239 0.520904 0.223948 1.52588e-05 0.015084
240 0.52179 0.224121 1.52588e-05 0.015084
241 0.522681 0.224278 1.52588e-05 0.015084
242 0.523567 0.22444 1.52588e-05 0.015084
243 0.524452 0.224604 1.52588e-05 0.015084
244 0.525339 0.224747 1.52588e-05 0.015084
245 0.526219 0.224924 1.52588e-05 0.015084
246 0.527099 0.225083 1.52588e-05 0.015084
247 0.527979 0.225242 1.52588e-05 0.015084
248 0.52886 0.225387 1.52588e-05 0.015084
249 0.529735 0.225553 1.52588e-05 0.0150477
250 0.530611 0.225704 1.52588e-05 0.0150477
251 0.531489 0.225843 1.52588e-05 0.0150477
252 0.532357 0.226014 1.52588e-05 0.0150477
253 0.53323 0.226157 1.52588e-05 0.0150477
254 0.534105 0.226292 1.52588e-05 0.0150477
255 0.534973 0.226446 1.52588e-05 0.0150477
256 0.535842 0.226586 1.52588e-05 0.0150477
257 0.536709 0.22674 1.52588e-05 0.0150477
258 0.537574 0.226873 1.52588e-05 0.0150477
259 0.53844 0.227008 1.52588e-05 0.0149584
260 0.539305 0.227149 1.52588e-05 0.0149584
261 0.540161 0.227294 1.52588e-05 0.0149584
262 0.541019 0.227437 1.52588e-05 0.0149584
263 0.541882 0.227567 1.52588e-05 0.0149584
264 0.542736 0.227711 1.52588e-05 0.0149584
265 0.543592 0.227835 1.52588e-05 0.0149584
266 0.544451 0.22796 1.52588e-05 0.0149584
267 0.545305 0.228088 1.52588e-05 0.0149584
268 0.546157 0.228215 1.52588e-05 0.0149584
