# step rho_core(r<5) rho_core(r<10) rho_core(r<15) total_norm
0 0.000328697 0.0282539 0.321038 1
10 0.000363426 0.0301081 0.331143 0.999997
20 0.000401311 0.0320507 0.341319 0.999993
30 0.000442585 0.0340833 0.351548 0.999989
40 0.000487492 0.0362075 0.361815 0.999988
50 0.000536285 0.0384244 0.372103 0.999985
60 0.000589238 0.0407349 0.382394 0.999982
70 0.000646633 0.0431395 0.39267 0.999978
80 0.000708781 0.0456385 0.402916 0.999975
90 0.000776021 0.048232 0.413112 0.999971
100 0.000848733 0.0509201 0.423245 0.999968
110 0.000927332 0.0537029 0.433297 0.999966
120 0.00101227 0.0565808 0.443253 0.999962
130 0.00110402 0.0595542 0.4531 0.99996
140 0.00120307 0.0626237 0.462822 0.999957
150 0.00130994 0.0657895 0.472408 0.999953
160 0.00142511 0.0690522 0.481843 0.999951
170 0.00154909 0.0724115 0.491114 0.999946
180 0.00168239 0.075867 0.500208 0.999945
190 0.0018255 0.079418 0.509112 0.999941
200 0.00197893 0.083063 0.517812 0.999938
210 0.00214321 0.0868002 0.526297 0.999934
220 0.00231885 0.0906276 0.534556 0.999932
230 0.00250639 0.094543 0.542576 0.999928
240 0.00270635 0.0985436 0.550348 0.999925
250 0.00291926 0.102627 0.557864 0.999923
260 0.00314564 0.106792 0.565115 0.999919
270 0.00338603 0.111035 0.572095 0.999917
280 0.00364098 0.115355 0.578797 0.999914
290 0.00391106 0.119751 0.585216 0.99991
300 0.00419689 0.124221 0.591348 0.999908
310 0.0044991 0.128764 0.597186 0.999903
320 0.00481841 0.133378 0.60273 0.999899
330 0.00515556 0.138062 0.607977 0.999899
340 0.00551136 0.142813 0.612927 0.999895
350 0.00588667 0.147628 0.617582 0.999892
360 0.00628243 0.152503 0.621944 0.999887
370 0.00669963 0.157433 0.626019 0.999885
380 0.00713934 0.162412 0.629811 0.999881
390 0.00760267 0.167433 0.633328 0.999878
400 0.00809073 0.17249 0.636575 0.999876
410 0.00860463 0.177574 0.63956 0.999874
420 0.00914544 0.18268 0.64229 0.99987
430 0.00971417 0.187798 0.644772 0.999867
440 0.0103117 0.192922 0.647009 0.999863
450 0.0109387 0.198044 0.649007 0.999859
460 0.0115961 0.20316 0.65077 0.999857
470 0.0122842 0.208263 0.652303 0.999852
480 0.0130038 0.213348 0.65361 0.99985
490 0.0137552 0.21841 0.654697 0.999846
500 0.014539 0.223446 0.655573 0.999845
510 0.0153558 0.228451 0.656246 0.999839
520 0.0162063 0.233421 0.656726 0.999837
530 0.0170913 0.238353 0.657023 0.999836
540 0.0180121 0.243243 0.657149 0.999831
550 0.0189699 0.248087 0.657114 0.999827
560 0.0199667 0.25288 0.656927 0.999826
570 0.0210044 0.257617 0.656598 0.999824
580 0.0220853 0.262295 0.656132 0.999817
590 0.0232118 0.266905 0.655539 0.999815
600 0.0243865 0.271443 0.654821 0.999812
610 0.0256116 0.275901 0.653985 0.999808
620 0.026889 0.280272 0.653034 0.999805
630 0.0282203 0.284546 0.651973 0.999803
640 0.0296065 0.288715 0.650807 0.9998
650 0.0310479 0.292771 0.649543 0.999798
660 0.0325443 0.296705 0.648189 0.999795
670 0.0340948 0.300512 0.646751 0.999789
680 0.0356981 0.304187 0.645242 0.999788
690 0.0373526 0.307729 0.643668 0.999783
700 0.0390562 0.311139 0.642042 0.99978
