# x y rho R
0 0 0.000538154 1
1 0 0.000558709 1
2 0 0.000535112 1
3 0 0.000464855 1
4 0 0.000378884 1
5 0 0.000290306 1
6 0 0.000202274 1
7 0 0.000130854 1
8 0 8.15036e-05 1
9 0 4.61018e-05 1
10 0 2.05777e-05 1
11 0 7.04025e-06 1
12 0 2.53747e-06 1
13 0 2.36787e-06 1
14 0 3.4601e-06 1
15 0 4.79974e-06 1
16 0 5.68901e-06 1
17 0 6.14161e-06 1
18 0 6.23303e-06 1
19 0 5.35183e-06 1
20 0 3.00276e-06 1
21 0 1.55794e-06 1
22 0 1.67491e-06 1
23 0 2.04219e-06 1
24 0 1.78828e-06 1
25 0 1.21258e-06 1
26 0 7.90745e-07 1
27 0 5.8452e-07 1
28 0 6.56634e-07 1
29 0 8.62583e-07 1
30 0 9.99351e-07 1
31 0 1.0816e-06 1
32 0 1.08501e-06 1
33 0 9.1874e-07 1
34 0 6.49321e-07 1
35 0 4.71326e-07 1
36 0 4.38989e-07 1
37 0 5.0261e-07 1
38 0 6.30635e-07 1
39 0 8.32355e-07 1
40 0 1.13133e-06 1
41 0 1.51019e-06 1
42 0 1.79046e-06 1
43 0 1.89818e-06 1
44 0 1.93902e-06 1
45 0 2.06308e-06 1
46 0 2.29632e-06 1
47 0 2.64299e-06 1
48 0 3.10009e-06 1
49 0 3.67258e-06 1
50 0 4.24974e-06 1
51 0 4.68382e-06 1
52 0 4.87794e-06 1
53 0 4.95134e-06 1
54 0 5.1069e-06 1
55 0 5.47553e-06 1
56 0 6.03536e-06 1
57 0 6.66625e-06 1
58 0 7.25847e-06 1
59 0 7.7321e-06 1
60 0 8.08132e-06 1
61 0 8.31272e-06 1
62 0 8.47107e-06 1
63 0 8.58145e-06 1
64 0 8.67733e-06 1
65 0 8.7658e-06 1
66 0 8.86456e-06 1
67 0 8.97374e-06 1
68 0 9.09811e-06 1
69 0 9.23584e-06 1
70 0 9.39115e-06 1
71 0 9.56043e-06 1
72 0 9.74474e-06 1
73 0 9.9386e-06 1
74 0 1.01501e-05 1
75 0 1.0389e-05 1
76 0 1.06993e-05 1
77 0 1.11531e-05 1
78 0 1.18433e-05 1
79 0 1.28643e-05 1
80 0 1.42984e-05 1
81 0 1.62442e-05 1
82 0 1.88296e-05 1
83 0 2.22629e-05 1
84 0 2.67957e-05 1
85 0 3.25511e-05 1
86 0 3.93622e-05 1
87 0 4.64789e-05 1
88 0 5.26702e-05 1
89 0 5.65294e-05 1
90 0 5.71289e-05 1
91 0 5.40018e-05 1
92 0 4.72163e-05 1
93 0 3.76868e-05 1
94 0 2.71336e-05 1
95 0 1.74759e-05 1
96 0 1.05172e-05 1
97 0 7.34919e-06 1
98 0 7.55877e-06 1
99 0 9.28244e-06 1
100 0 1.12596e-05 1
101 0 1.42115e-05 1
102 0 1.9424e-05 1
103 0 2.69158e-05 1
104 0 3.59279e-05 1
105 0 4.76458e-05 1
106 0 6.26762e-05 1
107 0 7.9832e-05 1
108 0 9.88414e-05 1
109 0 0.000124865 1
110 0 0.000162854 1
111 0 0.000211032 1
112 0 0.000252063 1
113 0 0.000258889 1
114 0 0.000226625 1
115 0 0.000192743 1
116 0 0.000160424 1
117 0 0.00011029 1
118 0 5.24786e-05 1
119 0 1.73553e-05 1
120 0 4.62753e-05 1
121 0 0.000129965 1
122 0 0.000197237 1
123 0 0.000251519 1
124 0 0.000358078 1
125 0 0.000475383 1
126 0 0.00050972 1
127 0 0.000510635 1
0 1 0.00057273 1
1 1 0.000581545 1
2 1 0.000554371 1
3 1 0.000483667 1
4 1 0.000384478 1
5 1 0.000281625 1
6 1 0.000193268 1
7 1 0.000125177 1
8 1 7.52334e-05 1
9 1 4.08015e-05 1
10 1 2.01979e-05 1
11 1 8.68692e-06 1
12 1 3.97358e-06 1
13 1 3.24605e-06 1
14 1 4.0168e-06 1
15 1 5.29907e-06 1
16 1 6.71843e-06 1
17 1 7.48584e-06 1
18 1 7.95645e-06 1
19 1 8.06175e-06 1
20 1 6.83932e-06 1
21 1 3.96211e-06 1
22 1 1.78118e-06 1
23 1 1.47636e-06 1
24 1 1.99995e-06 1
25 1 2.04539e-06 1
26 1 1.60362e-06 1
27 1 1.38925e-06 1
28 1 1.28784e-06 1
29 1 1.13417e-06 1
30 1 1.02245e-06 1
31 1 8.62796e-07 1
32 1 5.89438e-07 1
33 1 3.28089e-07 1
34 1 1.91202e-07 1
35 1 1.53314e-07 1
36 1 1.87079e-07 1
37 1 3.0739e-07 1
38 1 5.42527e-07 1
39 1 8.85231e-07 1
40 1 1.28799e-06 1
41 1 1.7071e-06 1
