# R rho
1 0.000538154
1 0.000558709
1 0.000535112
1 0.000464855
1 0.000378884
1 0.000290306
1 0.000202274
1 0.000130854
1 8.15036e-05
1 4.61018e-05
1 2.05777e-05
1 7.04025e-06
1 2.53747e-06
1 2.36787e-06
1 3.4601e-06
1 4.79974e-06
1 5.68901e-06
1 6.14161e-06
1 6.23303e-06
1 5.35183e-06
1 3.00276e-06
1 1.55794e-06
1 1.67491e-06
1 2.04219e-06
1 1.78828e-06
1 1.21258e-06
1 1.0816e-06
1 1.08501e-06
1 1.13133e-06
1 1.51019e-06
1 1.79046e-06
1 1.89818e-06
1 1.93902e-06
1 2.06308e-06
1 2.29632e-06
1 2.64299e-06
1 3.10009e-06
1 3.67258e-06
1 4.24974e-06
1 4.68382e-06
1 4.87794e-06
1 4.95134e-06
1 5.1069e-06
1 5.47553e-06
1 6.03536e-06
1 6.66625e-06
1 7.25847e-06
1 7.7321e-06
1 8.08132e-06
1 8.31272e-06
1 8.47107e-06
1 8.58145e-06
1 8.67733e-06
1 8.7658e-06
1 8.86456e-06
1 8.97374e-06
1 9.09811e-06
1 9.23584e-06
1 9.39115e-06
1 9.56043e-06
1 9.74474e-06
1 9.9386e-06
1 1.01501e-05
1 1.0389e-05
1 1.06993e-05
1 1.11531e-05
1 1.18433e-05
1 1.28643e-05
1 1.42984e-05
1 1.62442e-05
1 1.88296e-05
1 2.22629e-05
1 2.67957e-05
1 3.25511e-05
1 3.93622e-05
1 4.64789e-05
1 5.26702e-05
1 5.65294e-05
1 5.71289e-05
1 5.40018e-05
1 4.72163e-05
1 3.76868e-05
1 2.71336e-05
1 1.74759e-05
1 1.05172e-05
1 7.34919e-06
1 7.55877e-06
1 9.28244e-06
1 1.12596e-05
1 1.42115e-05
1 1.9424e-05
1 2.69158e-05
1 3.59279e-05
1 4.76458e-05
1 6.26762e-05
1 7.9832e-05
1 9.88414e-05
1 0.000124865
1 0.000162854
1 0.000211032
1 0.000252063
1 0.000258889
1 0.000226625
1 0.000192743
1 0.000160424
1 0.00011029
1 5.24786e-05
1 1.73553e-05
1 4.62753e-05
1 0.000129965
1 0.000197237
1 0.000251519
1 0.000358078
1 0.000475383
1 0.00050972
1 0.000510635
1 0.00057273
1 0.000581545
1 0.000554371
1 0.000483667
1 0.000384478
1 0.000281625
1 0.000193268
1 0.000125177
1 7.52334e-05
1 4.08015e-05
1 2.01979e-05
1 8.68692e-06
1 3.97358e-06
1 3.24605e-06
1 4.0168e-06
1 5.29907e-06
1 6.71843e-06
1 7.48584e-06
1 7.95645e-06
1 8.06175e-06
1 6.83932e-06
1 3.96211e-06
1 1.78118e-06
1 1.47636e-06
1 1.99995e-06
1 2.04539e-06
1 1.60362e-06
1 1.38925e-06
1 1.28784e-06
1 1.13417e-06
1 1.02245e-06
1 1.28799e-06
1 1.7071e-06
1 2.19587e-06
1 2.6931e-06
1 3.04849e-06
1 3.18396e-06
1 3.22482e-06
1 3.27821e-06
1 3.38471e-06
1 3.52942e-06
1 3.77937e-06
1 4.19863e-06
1 4.81705e-06
1 5.51825e-06
1 6.16246e-06
1 6.61691e-06
1 6.89506e-06
1 7.07197e-06
1 7.26196e-06
1 7.52238e-06
1 7.86835e-06
1 8.26587e-06
1 8.67589e-06
1 9.06826e-06
1 9.42376e-06
1 9.74641e-06
1 1.00398e-05
1 1.03227e-05
1 1.06077e-05
1 1.09084e-05
1 1.1233e-05
1 1.15952e-05
1 1.20069e-05
1 1.24889e-05
1 1.30609e-05
1 1.37394e-05
1 1.4521e-05
1 1.53891e-05
1 1.63385e-05
1 1.73772e-05
1 1.85512e-05
1 1.98745e-05
1 2.13341e-05
1 2.285e-05
1 2.43763e-05
1 2.59613e-05
1 2.77858e-05
1 3.00794e-05
1 3.29927e-05
1 3.61152e-05
1 3.83798e-05
1 3.8465e-05
1 3.56425e-05
1 3.0002e-05
1 2.2584e-05
1 1.54273e-05
1 1.05753e-05
1 8.91669e-06
1 9.40906e-06
1 1.02469e-05
1 1.07422e-05
1 1.22488e-05
1 1.68316e-05
1 2.61683e-05
1 4.02365e-05
1 5.67099e-05
1 7.65849e-05
1 0.000100942
1 0.000131033
1 0.000170812
1 0.000217804
1 0.000262537
1 0.000304587
1 0.000317761
1 0.000263864
1 0.000174384
1 0.000104062
1 5.94454e-05
1 3.14456e-05
1 2.89833e-05
1 6.17367e-05
1 0.000110046
1 0.000150223
1 0.000193225
1 0.000276901
1 0.000416464
1 0.000531243
1 0.000563058
1 0.00061307
1 0.000578167
1 0.000541537
1 0.000478417
1 0.00037924
1 0.000273429
1 0.000188689
1 0.000125576
1 7.68836e-05
1 4.39016e-05
1 2.3924e-05
1 1.23946e-05
1 6.94382e-06
1 4.97283e-06
1 5.10438e-06
1 5.98953e-06
1 7.06447e-06
1 8.49457e-06
1 9.28769e-06
1 9.34136e-06
1 9.1358e-06
1 7.81254e-06
1 4.73772e-06
1 2.1104e-06
1 1.42596e-06
1 2.0236e-06
1 2.68249e-06
1 2.45886e-06
1 1.85591e-06
1 1.41424e-06
1 1.21174e-06
