# step dp_dt_x dp_dt_y F_x F_y ratio_x ratio_y
100 0.498253 -1.71661e-05 -0 -0 0 0
200 0.949202 1.52588e-05 -0 -0 0 0
300 0.848768 -1.33514e-05 -0 -0 0 0
400 0.713814 1.14441e-05 -0 -0 0 0
500 0.577894 3.8147e-05 -0 -0 0 0
600 0.468025 -1.71661e-05 -0 -0 0 0
700 0.397533 -2.28882e-05 -0 -0 0 0
800 0.36574 1.71661e-05 -0 -0 0 0
900 0.363033 -4.57764e-05 -0 -0 0 0
1000 0.377045 -0.0001297 -0 -0 0 0
1100 0.397528 -5.14984e-05 1.48956e-08 -0 0 0
1200 0.418154 2.28882e-05 5.95805e-08 -0 0 0
1300 0.4354 -0.000242233 5.95784e-08 2.97892e-08 0 0
1400 0.447983 -0.00101662 2.97883e-08 5.95766e-08 0 0
1500 0.45715 -0.00118828 2.97873e-07 1.48936e-08 0 0
1600 0.463993 -0.00062561 3.12756e-07 5.95726e-08 0 0
1700 0.468405 -0.000806808 1.47437e-06 1.93605e-07 317698 0
1800 0.470175 -0.0024395 1.519e-06 2.23383e-07 309529 0
1900 0.470531 -0.0039978 6.70126e-06 9.6796e-07 70215.4 0
2000 0.4701 -0.00414276 6.34366e-06 9.8282e-07 74105.6 0
2100 0.468603 -0.00381851 2.38548e-05 3.60354e-06 19643.9 -1059.66
2200 0.466499 -0.00423622 3.03461e-05 3.99056e-06 15372.6 -1061.56
2300 0.464401 -0.00500298 6.60356e-05 1.5247e-05 7032.59 -328.128
2400 0.463377 -0.0052433 5.76954e-05 1.13157e-05 8031.44 -463.363
2500 0.461393 -0.00512505 0.00169235 9.02548e-05 272.636 -56.7842
2600 0.458519 -0.00473404 0.000527948 9.6341e-05 868.493 -49.1384
2700 0.456144 -0.00389481 7.55696e-05 -2.92542e-05 6036.08 133.137
2800 0.454283 -0.00296211 0.032192 0.000283154 14.1117 -10.4612
2900 0.453089 -0.00279999 0.0892062 0.00108515 5.07912 -2.58028
3000 0.451298 -0.00326729 0.142429 0.0664868 3.16858 -0.0491419
3100 0.449656 -0.003685 0.00239522 0.00048694 187.73 -7.56767
3200 0.449263 -0.00393295 0.0187116 0.0150479 24.0098 -0.261363
3300 0.449806 -0.00438881 0.051881 0.0458227 8.66997 -0.0957782
3400 0.450626 -0.00528717 -0.0774805 -0.120008 -5.81599 0.044057
3500 0.450943 -0.00657082 -0.00455597 -0.00238146 -98.9784 2.75916
3600 0.451851 -0.00740242 0.0322188 -0.028414 14.0244 0.26052
3700 0.453426 -0.00772667 0.048292 -0.110833 9.38927 0.0697143
3800 0.45454 -0.00787354 -0.0696938 -0.116746 -6.52196 0.0674413
3900 0.455585 -0.00769615 -0.00597695 0.00617581 -76.2237 -1.24618
4000 0.456516 -0.00716782 0.0297114 -0.0296192 15.365 0.241999
4100 0.458241 -0.00663567 0.0352648 -0.133493 12.9943 0.0497081
4200 0.461063 -0.00624275 -0.0653082 -0.0890154 -7.05981 0.0701312
4300 0.46505 -0.00612068 -0.000992034 0.00280531 -468.784 -2.18182
4400 0.471222 -0.00619316 0.0207206 -0.0427397 22.7417 0.144904
4500 0.480396 -0.00613213 0.0173115 -0.143919 27.7502 0.0426082
4600 0.492996 -0.00611877 -0.0373982 -0.0909657 -13.1824 0.0672646
4700 0.508099 -0.00631714 -0.00160752 0.00035715 -316.077 -17.6877
4800 0.524757 -0.00664711 0.00660169 -0.0399707 79.4883 0.166299
4900 0.542038 -0.00688171 0.00121854 -0.128454 444.827 0.0535735
5000 0.558151 -0.00740814 -0.0023833 -0.12441 -234.193 0.0595461
5100 0.572132 -0.00849152 0.00395468 -0.00548651 144.672 1.54771
5200 0.583168 -0.0113068 -0.00662195 -0.0189174 -88.0659 0.597692
5300 0.591572 -0.0176983 -0.012565 -0.0919437 -47.0811 0.192491
5400 0.599339 -0.0299473 0.00231808 -0.161754 258.55 0.185141
5500 0.608116 -0.0522747 0.0285103 -0.0402746 21.3297 1.29796
5600 0.619434 -0.0882359 -0.00389455 0.000552339 -159.051 -159.75
5700 0.635616 -0.138649 -0.0232324 0.0452773 -27.359 -3.06222
5800 0.658607 -0.199987 -0.0582591 0.131739 -11.3048 -1.51806
5900 0.688549 -0.261608 -0.0758373 0.164839 -9.07929 -1.58705
6000 0.723454 -0.30377 -0.00554016 0.00632063 -130.584 -48.0601
6100 0.757439 -0.298946 -5.77568e-05 5.84111e-05 -13114.3 -5117.97
6200 0.782856 -0.234951 -0.00065691 0.000649683 -1191.72 -361.639
6300 0.792717 -0.132837 -0.000201451 9.70525e-05 -3935.04 -1368.72
6400 0.780857 -0.0103436 -4.51421e-05 1.81252e-05 -17297.8 -570.671
6500 0.747307 0.133501 -1.07647e-05 4.01448e-06 -69421.7 33254.9
6600 0.696766 0.25561 -1.65034e-05 4.50498e-06 -42219.5 56739.3
6700 0.637619 0.276546 -4.69812e-06 1.1894e-06 -135718 232510
6800 0.578934 0.210564 -4.77229e-06 1.15962e-06 -121312 181580
6900 0.524437 0.122271 -1.33797e-06 2.67594e-07 -391964 0
7000 0.46582 0.00946045 -1.32306e-06 2.67586e-07 -352077 0
7100 0.392365 -0.0858326 -3.865e-07 1.18923e-07 0 0
7200 0.305199 -0.109064 -3.86485e-07 1.18919e-07 0 0
7300 0.158566 -0.109814 -4.01337e-07 1.18915e-07 0 0
7400 -0.153683 -0.136831 -3.8646e-07 1.18911e-07 0 0
7500 -0.597561 -0.160526 -8.47209e-07 2.52676e-07 0 0
7600 -0.926762 -0.154495 -2.74962e-06 9.66082e-07 337051 0
7700 -1.20444 -0.123604 -4.49436e-05 1.82658e-05 26798.9 -6766.96
7800 -1.75748 -0.0643215 -3.3662e-05 3.44646e-05 52209.7 -1866.31
7900 -2.3364 0.00538826 -0.000802777 0.0620373 2910.4 0.0868551
8000 -2.3037 0.045393 0.000374313 0.158084 -6154.46 0.287144
8100 -1.87347 0.0692463 3.70022e-06 0.00891451 -506313 7.76782
8200 -1.70318 0.109251 -6.07763e-06 0.0232988 280238 4.68913
8300 -1.63211 0.152906 0.00391189 0.101441 -417.217 1.50735
8400 -1.31961 0.203297 -0.00434294 0.161344 303.852 1.26002
8500 -1.00567 0.226591 -0.0163869 0.0321482 61.3706 7.04834
8600 -0.944656 0.207592 0.00441026 0.00555675 -214.195 37.3585
8700 -1.02537 0.217684 0.016798 0.0564613 -61.041 3.85545
8800 -1.12 0.277998 0.0258466 -0.127227 -43.3324 -2.18506
8900 -1.20381 0.321651 0.0403805 0.0424789 -29.8116 7.57203
9000 -1.25886 0.311211 0.0117549 0.00364307 -107.093 85.4255
9100 -1.27206 0.286308 0.0200684 5.75789e-05 -63.3865 4972.45
9200 -1.2127 0.261677 0.00138507 3.30517e-05 -875.552 7917.2
9300 -1.06196 0.214821 0.000202879 1.12149e-05 -5234.44 19154.9
9400 -0.882174 0.144543 3.89019e-05 3.28267e-06 -22676.9 44032
9500 -0.752209 0.0799713 9.10499e-06 9.35749e-07 -82615 0
