# Field snapshot at t = 10 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
0  0  -0.048905  0.999574  2.498936  0.000368  0.006024  -0.003416  -0.005034  -0.003493  0.001361  -0.012569  0.002163  -0.010869
1  0  -0.033476  0.999652  2.499130  0.000227  0.004572  -0.000618  -0.008326  0.006287  0.007667  -0.005078  -0.001796  0.002957
2  0  0.023440  0.999489  2.498723  0.000180  -0.005286  -0.004330  0.010030  0.002032  -0.003119  -0.002114  0.001610  0.003377
3  0  -0.014723  0.999674  2.499186  0.000573  0.001454  -0.007709  0.004453  -0.009388  0.017032  0.006004  -0.004102  -0.007795
4  0  0.024524  0.999721  2.499302  0.000206  0.006363  0.001729  -0.004214  0.010701  -0.000339  -0.000409  0.005400  0.000706
5  0  -0.030833  0.999693  2.499233  0.000101  0.002450  -0.000278  0.002862  0.003214  0.001547  0.000560  -0.007834  -0.003544
6  0  0.038916  0.999752  2.499380  0.000424  -0.006340  0.001960  0.012627  -0.003812  0.003602  0.001566  -0.004189  -0.013139
7  0  0.005132  0.999364  2.498410  0.000248  0.010010  0.005290  0.007260  0.002576  -0.001965  0.000468  0.002106  0.007231
8  0  0.101789  0.999290  2.498225  0.000255  0.005060  -0.005701  0.002364  0.001727  -0.011682  -0.004993  0.001479  0.005020
9  0  0.036038  0.999003  2.497507  0.000253  -0.005384  -0.000228  0.010091  0.001416  0.007364  -0.004036  -0.006598  0.002450
10  0  -0.014099  0.999358  2.498395  0.000195  0.000433  0.006439  -0.009341  0.001408  -0.004623  0.001950  0.000763  0.006230
11  0  -0.042249  0.999303  2.498256  0.000090  0.003143  -0.000032  0.001136  0.001611  0.002060  -0.007456  -0.003921  -0.001029
12  0  0.073942  0.999331  2.498329  0.000178  -0.008098  -0.003999  -0.000095  0.004811  0.005268  0.001182  0.001676  0.006450
13  0  -0.024844  0.999018  2.497546  0.000096  -0.005039  0.001982  -0.004013  0.000538  -0.002551  0.001445  0.006407  0.000453
14  0  -0.083294  0.999341  2.498352  0.000486  0.002008  -0.011629  -0.003839  0.011277  -0.011961  -0.005349  -0.005399  0.002002
15  0  -0.012601  0.999270  2.498176  0.000179  -0.004518  -0.011298  -0.000672  0.001952  0.003015  -0.002251  0.003010  0.001979
16  0  0.034455  0.999764  2.499411  0.000168  -0.000134  -0.002165  0.006968  -0.004301  0.002893  -0.000598  0.009221  0.001629
17  0  0.039287  0.999671  2.499177  0.000578  0.000382  0.013450  -0.011248  0.005875  0.001019  -0.007424  -0.011943  -0.006094
18  0  -0.006828  0.999575  2.498936  0.000208  -0.001988  -0.001984  -0.001621  -0.000464  0.010644  -0.003852  0.007613  0.003378
19  0  0.064614  0.999607  2.499017  0.000227  0.001336  -0.009166  0.000521  -0.008518  -0.003774  0.006493  0.002759  -0.002067
20  0  0.037213  0.999495  2.498737  0.000123  -0.001453  0.001636  0.000460  -0.007605  -0.000827  -0.005024  -0.005813  -0.000080
21  0  0.065496  0.999496  2.498741  0.000226  0.005563  -0.000108  0.005843  0.003020  -0.008365  0.006864  0.001435  -0.005670
22  0  -0.019863  0.999434  2.498584  0.000348  0.013846  0.005816  -0.002435  0.004202  -0.007052  0.000280  -0.007022  0.000312
23  0  0.019744  0.999616  2.499039  0.000238  0.008315  -0.006093  0.008516  -0.000601  0.002710  -0.003882  -0.001258  0.005936
24  0  0.019303  0.999714  2.499286  0.000245  0.006058  -0.005340  -0.003456  -0.009737  -0.005034  0.005952  0.003508  0.000108
25  0  -0.028190  0.999783  2.499458  0.000167  -0.002400  0.002763  0.006287  -0.006155  0.002313  0.007714  0.002544  0.002235
26  0  -0.021406  0.999489  2.498723  0.000383  0.007266  0.003680  0.001901  -0.000488  0.009912  -0.013268  0.005976  0.001723
27  0  0.059872  0.999554  2.498884  0.000581  0.011403  0.007916  0.006737  0.001308  0.014760  0.007182  0.006619  0.005283
28  0  0.032713  0.999863  2.499659  0.000262  0.002592  0.004749  0.009048  0.001078  -0.001712  -0.001979  0.009445  0.007347
29  0  0.020317  0.999390  2.498476  0.000344  -0.008668  -0.008080  0.002614  0.011477  0.003676  -0.003427  0.001295  -0.006193
30  0  0.067346  0.999154  2.497884  0.000362  0.012206  -0.003362  0.007558  0.001239  -0.010388  0.003316  -0.004794  0.001179
31  0  0.023299  0.999148  2.497869  0.000226  0.003977  0.002327  -0.000109  -0.008661  0.009597  -0.002314  -0.005205  -0.002338
32  0  0.012889  0.998928  2.497321  0.000379  0.006779  -0.009098  -0.002423  -0.005942  0.004922  0.011362  -0.004421  0.005991
33  0  -0.100262  0.998784  2.496960  0.000382  0.000365  0.007204  -0.004740  0.005433  -0.008358  0.007474  -0.004943  -0.011319
34  0  -0.153387  0.998912  2.497281  0.000164  -0.001022  0.003409  0.001065  -0.006601  0.006847  0.005207  -0.000215  -0.005689
35  0  -0.021214  0.998430  2.496075  0.000242  -0.003690  0.006910  -0.004650  0.010761  0.000442  0.000360  -0.006170  -0.002127
36  0  0.022813  0.999667  2.499168  0.000323  0.011209  0.004959  -0.006557  -0.003890  -0.001922  -0.007871  0.002214  -0.006620
37  0  0.004140  0.999160  2.497901  0.000158  0.003753  -0.002863  0.000393  -0.000460  -0.005624  -0.008403  0.001971  0.005382
38  0  0.078779  0.999411  2.498527  0.000251  0.004757  0.006183  0.004692  0.003476  -0.008860  -0.006482  0.003041  0.005130
39  0  0.038262  0.999250  2.498124  0.000238  -0.005059  -0.005981  0.000186  -0.007928  0.007299  0.005745  0.000698  0.005160
40  0  -0.034679  0.999520  2.498801  0.000304  -0.012743  0.006491  -0.003820  0.001582  0.002597  -0.007447  -0.004312  0.001197
41  0  -0.024950  0.999569  2.498924  0.000057  -0.000639  -0.000780  0.002254  0.002341  -0.002812  -0.005382  0.001282  -0.002686
42  0  -0.067870  0.999548  2.498870  0.000234  0.004147  0.006358  0.005615  0.004924  -0.002872  -0.001897  0.003679  0.009775
43  0  -0.054705  0.999527  2.498817  0.000149  0.004558  -0.001956  0.003866  -0.005091  -0.001089  -0.003416  -0.006643  -0.005182
44  0  -0.015971  0.999641  2.499103  0.000586  -0.001332  0.003283  0.005462  0.011170  0.003836  -0.000374  -0.008516  0.018218
45  0  -0.036381  0.999535  2.498838  0.000255  -0.007463  -0.002446  0.001003  -0.011017  0.005896  0.000516  0.004581  0.003896
46  0  -0.095385  0.999690  2.499226  0.000496  0.014452  0.002509  0.002514  0.003284  -0.013524  0.006241  -0.001447  -0.006288
