# Timeseries for σ = 5.000000e-01
# step  t  R_global  L
0  0.000000  0.998799  16312.668945
1  0.010000  0.997538  16239.721680
2  0.020000  0.996346  16171.735352
3  0.030000  0.995224  16108.043945
4  0.040000  0.994100  16043.738281
5  0.050000  0.992898  15975.400391
6  0.060000  0.991814  15913.686523
7  0.070000  0.990799  15856.184570
8  0.080000  0.989718  15797.385742
9  0.090000  0.988635  15737.383789
10  0.100000  0.987581  15678.893555
11  0.110000  0.986648  15627.333984
12  0.120000  0.985679  15573.521484
13  0.130000  0.984684  15522.200195
14  0.140000  0.983712  15469.661133
15  0.150000  0.982795  15420.285156
16  0.160000  0.981986  15378.424805
17  0.170000  0.981042  15329.567383
18  0.180000  0.980105  15279.598633
19  0.190000  0.979290  15236.381836
20  0.200000  0.978405  15190.706055
21  0.210000  0.977577  15146.005859
22  0.220000  0.976809  15106.624023
23  0.230000  0.975992  15062.247070
24  0.240000  0.975458  15035.241211
25  0.250000  0.974631  14992.371094
26  0.260000  0.973912  14955.350586
27  0.270000  0.972998  14910.345703
28  0.280000  0.972302  14874.812500
29  0.290000  0.971601  14838.427734
30  0.300000  0.970961  14806.903320
31  0.310000  0.970333  14774.225586
32  0.320000  0.969712  14745.096680
33  0.330000  0.968992  14707.087891
34  0.340000  0.968204  14665.321289
35  0.350000  0.967687  14639.510742
36  0.360000  0.967066  14610.430664
37  0.370000  0.966448  14579.682617
38  0.380000  0.965694  14540.566406
39  0.390000  0.965343  14524.705078
40  0.400000  0.964728  14492.979492
41  0.410000  0.964208  14467.391602
42  0.420000  0.963712  14444.387695
43  0.430000  0.963276  14423.770508
44  0.440000  0.962801  14401.955078
45  0.450000  0.962315  14380.070312
46  0.460000  0.961785  14356.503906
47  0.470000  0.961324  14336.427734
48  0.480000  0.960821  14311.500000
49  0.490000  0.960197  14282.426758
50  0.500000  0.959621  14254.667969
51  0.510000  0.959380  14243.044922
52  0.520000  0.958953  14223.979492
53  0.530000  0.958427  14201.310547
54  0.540000  0.958051  14181.938477
55  0.550000  0.957805  14169.046875
56  0.560000  0.957309  14144.847656
57  0.570000  0.957053  14133.852539
58  0.580000  0.956679  14119.151367
59  0.590000  0.956297  14104.619141
60  0.600000  0.955799  14082.838867
61  0.610000  0.955475  14066.870117
