# x y B_z phi A'_x A'_y
0 0 0 -2.35619 0 0
1 0 0 -2.34032 0 0
2 0 0 -2.32395 0 0
3 0 0 -2.30705 0 0
4 0 0 -2.28963 0 0
5 0 0 -2.27165 0 0
6 0 0 -2.25311 0 0
7 0 0 -2.234 0 0
8 0 0 -2.2143 0 0
9 0 0 -2.194 0 0
10 0 0 -2.17308 0 0
11 0 0 -2.15155 0 0
12 0 0 -2.1294 0 0
13 0 0 -2.10661 0 0
14 0 0 -2.08319 0 0
15 0 0 -2.05913 0 0
16 0 0 -2.03444 0 0
17 0 0 -2.00913 0 0
18 0 0 -1.98321 0 0
19 0 0 -1.95668 0 0
20 0 0 -1.92957 0 0
21 0 0 -1.90189 0 0
22 0 0 -1.87368 0 0
23 0 0 -1.84496 0 0
24 0 0 -1.81578 0 0
25 0 0 -1.78615 0 0
26 0 0 -1.75614 0 0
27 0 0 -1.72579 0 0
28 0 0 -1.69515 0 0
29 0 0 -1.66427 0 0
30 0 0 -1.63322 0 0
31 0 0 -1.60204 0 0
32 0 0 -1.5708 0 0
33 0 0 -1.53956 0 0
34 0 0 -1.50838 0 0
35 0 0 -1.47732 0 0
36 0 0 -1.44644 0 0
37 0 0 -1.4158 0 0
38 0 0 -1.38545 0 0
39 0 0 -1.35544 0 0
40 0 0 -1.32582 0 0
41 0 0 -1.29663 0 0
42 0 0 -1.26791 0 0
43 0 0 -1.2397 0 0
44 0 0 -1.21203 0 0
45 0 0 -1.18491 0 0
46 0 0 -1.15839 0 0
47 0 0 -1.13246 0 0
48 0 0 -1.10715 0 0
49 0 0 -1.08246 0 0
50 0 0 -1.05841 0 0
51 0 0 -1.03499 0 0
52 0 0 -1.0122 0 0
53 0 0 -0.99004 0 0
54 0 0 -0.968509 0 0
55 0 0 -0.947597 0 0
56 0 0 -0.927295 0 0
57 0 0 -0.907593 0 0
58 0 0 -0.88848 0 0
59 0 0 -0.869942 0 0
60 0 0 -0.851966 0 0
61 0 0 -0.834539 0 0
62 0 0 -0.817645 0 0
63 0 0 -0.80127 0 0

0 1 0 -2.37207 0 0
1 1 -0.0161234 -2.30988 0.056599 0.0245068
2 1 -0.00831723 -2.25887 0.0475638 0.0570019
3 1 -0.00858033 -2.21476 0.0421532 0.0832988
4 1 -0.00885075 -2.17456 0.0384142 0.105527
5 1 -0.00912839 -2.13793 0.035122 0.123803
6 1 -0.00941288 -2.10432 0.0330402 0.138729
7 1 -0.00970381 -2.07185 0.0313144 0.152024
8 1 -0.0100009 -2.04169 0.0280945 0.162333
9 1 -0.0103034 -2.01566 0.024287 0.167904
10 1 -0.0106108 -1.99311 0.021737 0.169472
11 1 -0.010922 -1.97218 0.0208086 0.168899
12 1 -0.0112363 -1.9515 0.0208666 0.167508
13 1 -0.0115525 -1.93045 0.0213173 0.165866
14 1 -0.0118694 -1.90886 0.0218844 0.164144
15 1 -0.0121855 -1.88668 0.0224776 0.162384
16 1 -0.0124993 -1.86391 0.0230722 0.160593
17 1 -0.0128093 -1.84054 0.0236606 0.158774
18 1 -0.0131135 -1.81659 0.0242388 0.156929
